X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.110000	6.948741e-06	1.135099e-05	2.690851e-07	-7.961328e-06	
9.111000	1.233679e-05	3.104010e-05	2.043963e-06	-6.985711e-06	
9.112000	1.294092e-05	5.865337e-05	3.279726e-06	-3.651447e-06	
9.113000	1.324212e-05	8.414335e-05	1.732843e-06	-5.079282e-06	
9.114000	1.331529e-05	1.056506e-04	-1.333261e-06	-6.897540e-06	
9.115000	9.204264e-06	1.133278e-04	-4.639127e-07	-4.294444e-06	
9.116001	7.213865e-06	1.057425e-04	-2.058110e-07	-8.031082e-06	
9.117001	6.199261e-06	9.362557e-05	-2.302112e-06	-1.219239e-05	
9.118001	4.704180e-06	7.966292e-05	-2.585855e-06	-9.078399e-06	
9.119001	2.213076e-06	5.647676e-05	-1.117590e-06	-8.293356e-06	
9.120001	7.226123e-07	3.283324e-05	-1.409507e-06	-8.656344e-06	
9.121001	4.221659e-06	2.167019e-05	-1.880660e-06	-6.519012e-06	
9.122001	3.517018e-06	1.505109e-05	1.011306e-06	-1.701590e-06	
9.123001	-1.189062e-06	-1.578059e-06	3.758497e-06	3.579835e-06	
9.124001	-2.116023e-06	-2.435154e-05	4.112084e-06	3.247998e-06	
9.125001	-4.357441e-07	-4.335774e-05	3.856102e-06	4.908257e-06	
9.126001	2.538116e-06	-5.565592e-05	5.420685e-06	8.998708e-06	
9.127002	1.317042e-06	-6.519174e-05	5.029145e-06	1.009299e-05	
9.128002	-4.366496e-06	-8.217538e-05	-2.687644e-06	1.038488e-05	
9.129002	-4.976538e-06	-6.297397e-05	-6.531774e-06	8.817397e-06	
9.130002	-3.638312e-06	-5.175148e-06	-3.755147e-06	9.002713e-06	
9.131002	-6.813166e-06	-5.306406e-06	-3.169282e-06	1.043454e-05	
9.132002	-4.971724e-06	-4.227180e-05	1.760449e-06	1.082735e-05	
9.133002	-1.829532e-06	-3.467458e-05	6.564120e-06	9.132327e-06	
9.134002	-6.642737e-06	-1.592608e-05	3.712076e-06	4.611232e-06	
9.135002	-6.193654e-06	-1.590861e-05	2.122047e-06	6.078998e-06	
9.136002	-2.260878e-06	-2.037918e-05	6.534673e-07	9.787332e-06	
9.137002	-4.922949e-06	-3.005738e-05	-3.130662e-06	6.263285e-06	
9.138003	-5.539538e-06	-3.140374e-05	-3.959044e-06	2.296575e-06	
9.139003	-3.488300e-06	-2.164080e-05	-9.009435e-07	7.408239e-07	
9.140003	-2.868349e-06	-1.759243e-05	1.954883e-06	-7.184873e-07	
9.141003	-2.158234e-06	-1.245290e-05	1.052176e-07	-1.143003e-06	
9.142003	-3.093395e-06	-1.384883e-05	-1.050465e-06	-2.983010e-06	
9.143003	-4.411478e-06	-2.412861e-05	2.452793e-06	-3.712447e-06	
9.144003	-1.611101e-06	-1.476649e-05	3.210270e-06	-4.149125e-06	
9.145003	3.397551e-06	1.377166e-06	8.662086e-07	-7.587822e-06	
9.146003	5.052964e-06	-1.131627e-06	-3.265503e-07	-6.615807e-06	
9.147003	5.585008e-06	-6.411652e-06	-1.057895e-06	-3.267140e-06	
