NO_OF_SAMPLES	136
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
FIRST_SAMPLE	837
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
837	8.36000	0.101114	0.629315	1.737294	0.149242	0.222525	0.020216	0.000000	0.000000	0.000000	
838	8.37000	0.123855	0.561429	1.913340	0.194441	0.231957	0.020023	0.000000	0.000000	0.000000	
839	8.38000	-0.012390	0.560841	2.090883	0.167491	0.231537	0.015652	0.000000	0.000000	0.000000	
840	8.39000	0.078217	0.583790	1.914554	0.149588	0.231601	-0.007349	0.000000	0.000000	0.000000	
841	8.40000	0.101067	0.698040	1.914558	0.176407	0.231717	0.029363	0.000000	0.000000	0.000000	
842	8.41000	0.146429	0.698363	2.092608	0.194454	0.259057	0.024626	0.000000	0.000000	0.000000	
843	8.42000	-0.012773	0.697838	2.003501	0.176489	0.249669	0.020303	0.000000	0.000000	0.000000	
844	8.43000	0.032144	0.675285	1.648926	0.176615	0.249868	-0.007277	0.000000	0.000000	0.000000	
845	8.44000	0.101235	0.583485	1.738462	0.139798	0.249592	0.029343	0.000000	0.000000	0.000000	
846	8.45000	0.123430	0.424551	1.470865	0.193922	0.268303	0.006150	0.000000	0.000000	0.000000	
847	8.46000	0.146325	0.629799	1.647635	0.176530	0.213792	0.010946	0.000000	0.000000	0.000000	
848	8.47000	0.237656	0.562012	2.089504	0.221792	0.214202	0.019829	0.000000	0.000000	0.000000	
849	8.48000	0.123831	0.698198	2.002120	0.176835	0.204622	0.015594	0.000000	0.000000	0.000000	
850	8.49000	0.055688	0.652356	2.091393	0.176583	0.231664	0.020197	0.000000	0.000000	0.000000	
851	8.50000	0.124018	0.629523	1.914153	0.167316	0.222648	0.029314	0.000000	0.000000	0.000000	
852	8.51000	-0.012530	0.629344	2.090873	0.167715	0.222479	0.011123	0.000000	0.000000	0.000000	
853	8.52000	0.123820	0.538348	1.736328	0.167339	0.222752	0.010909	0.000000	0.000000	0.000000	
854	8.53000	0.123432	0.561686	1.735365	0.203774	0.223068	-0.002912	0.000000	0.000000	0.000000	
855	8.54000	0.146901	0.583981	2.180268	0.167446	0.231724	0.020038	0.000000	0.000000	0.000000	
856	8.55000	0.032515	0.720777	1.648103	0.176510	0.222633	0.020327	0.000000	0.000000	0.000000	
857	8.56000	0.146929	0.560916	1.647857	0.157894	0.213584	0.043057	0.000000	0.000000	0.000000	
858	8.57000	0.032696	0.789481	2.001379	0.195112	0.195550	0.020346	0.000000	0.000000	0.000000	
859	8.58000	0.123668	0.515814	1.914581	0.194230	0.268194	0.010764	0.000000	0.000000	0.000000	
860	8.59000	0.055758	0.652161	1.913506	0.158579	0.204400	0.020284	0.000000	0.000000	0.000000	
861	8.60000	0.122930	0.652987	1.471595	0.212347	0.268379	0.006275	0.000000	0.000000	0.000000	
862	8.61000	0.214839	0.629754	1.736831	0.167312	0.213765	0.024632	0.000000	0.000000	0.000000	
863	8.62000	-0.080885	0.652004	2.090594	0.158972	0.213292	-0.002508	0.000000	0.000000	0.000000	
864	8.63000	0.214705	0.538567	1.737944	0.175964	0.259124	0.019900	0.000000	0.000000	0.000000	
865	8.64000	0.100985	0.629523	1.737143	0.167284	0.231718	0.020169	0.000000	0.000000	0.000000	
866	8.65000	0.100937	0.629874	1.914522	0.203273	0.259102	0.029226	0.000000	0.000000	0.000000	
867	8.66000	0.078407	0.675499	2.090454	0.203713	0.222830	0.029322	0.000000	0.000000	0.000000	
868	8.67000	0.032634	0.652183	1.737766	0.167207	0.249716	0.020252	0.000000	0.000000	0.000000	
869	8.68000	0.214439	0.721501	1.736266	0.203718	0.214036	0.020038	0.000000	0.000000	0.000000	
870	8.69000	0.077756	0.538785	1.559054	0.212323	0.259286	0.006260	0.000000	0.000000	0.000000	
871	8.70000	0.078431	0.652341	2.002337	0.167667	0.213550	0.015627	0.000000	0.000000	0.000000	
872	8.71000	0.123413	0.675254	1.737696	0.158592	0.231725	-0.002757	0.000000	0.000000	0.000000	
873	8.72000	0.237211	0.630194	1.470326	0.203245	0.223163	0.029133	0.000000	0.000000	0.000000	
874	8.73000	-0.035273	0.584074	2.267135	0.203908	0.231769	0.011024	0.000000	0.000000	0.000000	
875	8.74000	0.214911	0.538311	1.916521	0.157755	0.277040	0.024484	0.000000	0.000000	0.000000	
876	8.75000	0.100524	0.630031	1.646892	0.194904	0.213921	-0.007386	0.000000	0.000000	0.000000	
877	8.76000	0.191864	0.629677	1.648716	0.158335	0.222761	0.010908	0.000000	0.000000	0.000000	
878	8.77000	0.032964	0.584025	2.001769	0.194495	0.231798	0.024742	0.000000	0.000000	0.000000	
879	8.78000	0.124140	0.675737	2.533556	0.213055	0.222906	0.024615	0.000000	0.000000	0.000000	
880	8.79000	0.124570	0.674279	1.915929	0.103757	0.213022	0.052426	0.000000	0.000000	0.000000	
881	8.80000	0.100622	0.584547	1.913556	0.212764	0.250222	-0.002936	0.000000	0.000000	0.000000	
882	8.81000	0.215303	0.560903	1.914025	0.131294	0.195383	0.020073	0.000000	0.000000	0.000000	
883	8.82000	-0.057800	0.697441	2.268907	0.149693	0.222200	0.020429	0.000000	0.000000	0.000000	
884	8.83000	0.055342	0.629458	1.559300	0.167334	0.222646	0.015669	0.000000	0.000000	0.000000	
885	8.84000	0.033012	0.560779	1.735500	0.149501	0.195326	0.011117	0.000000	0.000000	0.000000	
886	8.85000	0.192056	0.629698	1.737122	0.167253	0.222783	0.024650	0.000000	0.000000	0.000000	
887	8.86000	0.101351	0.583943	1.913171	0.176384	0.213652	0.029307	0.000000	0.000000	0.000000	
888	8.87000	0.100794	0.538410	1.381036	0.176276	0.213798	0.010966	0.000000	0.000000	0.000000	
889	8.88000	0.032548	0.675112	1.737627	0.176293	0.249781	0.020250	0.000000	0.000000	0.000000	
890	8.89000	0.100534	0.652422	1.472597	0.175953	0.268024	0.020143	0.000000	0.000000	0.000000	
891	8.90000	0.101001	0.561613	1.734308	0.212664	0.204948	0.020071	0.000000	0.000000	0.000000	
892	8.91000	0.055757	0.583788	1.913620	0.167404	0.222591	0.020194	0.000000	0.000000	0.000000	
893	8.92000	0.123483	0.584535	1.646238	0.212694	0.214061	0.010874	0.000000	0.000000	0.000000	
894	8.93000	0.055522	0.629904	1.912948	0.212548	0.231961	0.029306	0.000000	0.000000	0.000000	
895	8.94000	0.101205	0.584186	1.912632	0.194555	0.213807	0.024683	0.000000	0.000000	0.000000	
896	8.95000	0.078254	0.584200	1.735767	0.203324	0.231963	0.029277	0.000000	0.000000	0.000000	
897	8.96000	-0.058162	0.629165	1.914573	0.167309	0.249569	0.020341	0.000000	0.000000	0.000000	
898	8.97000	0.078049	0.629742	1.469983	0.194254	0.222870	0.029362	0.000000	0.000000	0.000000	
899	8.98000	0.237447	0.653036	2.002141	0.194829	0.213998	0.010774	0.000000	0.000000	0.000000	
900	8.99000	0.100338	0.721648	1.735765	0.230976	0.232229	0.006345	0.000000	0.000000	0.000000	
901	9.00000	0.055722	0.651978	2.093710	0.149087	0.267635	0.024789	0.000000	0.000000	0.000000	
902	9.01000	0.214876	0.584478	2.091985	0.203262	0.259245	0.029027	0.000000	0.000000	0.000000	
903	9.02000	0.146119	0.675844	1.646839	0.212749	0.214053	0.015498	0.000000	0.000000	0.000000	
904	9.03000	0.033274	0.537972	1.912800	0.158368	0.204390	0.024824	0.000000	0.000000	0.000000	
905	9.04000	0.101196	0.675441	2.090806	0.194649	0.222789	0.029309	0.000000	0.000000	0.000000	
906	9.05000	0.078405	0.515858	2.001793	0.212356	0.250124	0.024574	0.000000	0.000000	0.000000	
907	9.06000	0.055696	0.743575	2.269955	0.176548	0.249684	0.029400	0.000000	0.000000	0.000000	
908	9.07000	0.146050	0.584658	1.735692	0.212783	0.232214	-0.002956	0.000000	0.000000	0.000000	
909	9.08000	0.078350	0.698050	2.091732	0.176637	0.231682	0.020199	0.000000	0.000000	0.000000	
910	9.09000	0.032803	0.538388	1.914002	0.194242	0.258987	0.020091	0.000000	0.000000	0.000000	
911	9.10000	0.077833	0.652813	1.380551	0.212475	0.213983	0.024774	0.000000	0.000000	0.000000	
912	9.11000	0.054983	0.652597	1.649155	0.194301	0.268100	0.010974	0.000000	0.000000	0.000000	
913	9.12000	0.055096	0.561252	1.114946	0.194035	0.222927	0.024786	0.000000	0.000000	0.000000	
914	9.13000	-0.013213	0.721008	1.736901	0.203599	0.249932	0.015702	0.000000	0.000000	0.000000	
915	9.14000	0.078063	0.584567	1.912090	0.221906	0.223089	0.006292	0.000000	0.000000	0.000000	
916	9.15000	0.123469	0.653009	1.734878	0.212905	0.204976	0.010927	0.000000	0.000000	0.000000	
917	9.16000	0.078928	0.583790	2.267911	0.167534	0.213492	0.029323	0.000000	0.000000	0.000000	
918	9.17000	0.146155	0.721205	1.915822	0.194382	0.268140	0.020056	0.000000	0.000000	0.000000	
919	9.18000	0.123666	0.630218	2.001564	0.221748	0.232137	0.020012	0.000000	0.000000	0.000000	
920	9.19000	0.124162	0.538335	2.001503	0.167559	0.204598	0.015499	0.000000	0.000000	0.000000	
921	9.20000	0.100875	0.675128	2.005587	0.167087	0.285961	0.020104	0.000000	0.000000	0.000000	
922	9.21000	0.214730	0.584461	1.735775	0.194474	0.214005	0.019959	0.000000	0.000000	0.000000	
923	9.22000	0.055144	0.629571	1.915703	0.167499	0.267898	-0.007370	0.000000	0.000000	0.000000	
924	9.23000	0.146940	0.561094	2.090999	0.158508	0.213586	0.015482	0.000000	0.000000	0.000000	
925	9.24000	0.101120	0.743751	2.180333	0.176807	0.222636	0.020205	0.000000	0.000000	0.000000	
926	9.25000	0.101452	0.583679	2.004387	0.166726	0.267816	0.047600	0.000000	0.000000	0.000000	
927	9.26000	0.055444	0.698280	2.090717	0.194946	0.222768	0.011028	0.000000	0.000000	0.000000	
928	9.27000	-0.012481	0.537900	1.645793	0.149636	0.177197	0.006605	0.000000	0.000000	0.000000	
929	9.28000	0.100786	0.584443	1.735559	0.212554	0.232102	0.015461	0.000000	0.000000	0.000000	
930	9.29000	0.145821	0.630770	1.467594	0.257990	0.205415	0.010817	0.000000	0.000000	0.000000	
931	9.30000	0.055595	0.629549	2.092014	0.176478	0.249782	0.015567	0.000000	0.000000	0.000000	
932	9.31000	0.032636	0.697923	2.004431	0.176336	0.267831	0.020218	0.000000	0.000000	0.000000	
933	9.32000	0.191846	0.584540	1.735792	0.203532	0.223107	0.015370	0.000000	0.000000	0.000000	
934	9.33000	0.123816	0.561226	1.647191	0.176321	0.213757	0.020106	0.000000	0.000000	0.000000	
935	9.34000	0.078330	0.538397	2.090666	0.167861	0.222693	-0.012008	0.000000	0.000000	0.000000	
936	9.35000	0.032709	0.628979	1.471631	0.131076	0.222342	0.015776	0.000000	0.000000	0.000000	
937	9.36000	0.055323	0.629931	1.734756	0.203846	0.204817	0.011019	0.000000	0.000000	0.000000	
938	9.37000	0.101188	0.652403	1.913928	0.176411	0.222681	0.029343	0.000000	0.000000	0.000000	
939	9.38000	0.123125	0.652942	1.471759	0.221025	0.277440	0.029192	0.000000	0.000000	0.000000	
940	9.39000	0.192127	0.583975	1.737125	0.158198	0.222737	0.020046	0.000000	0.000000	0.000000	
941	9.40000	0.055055	0.697852	1.916600	0.149547	0.267747	-0.011877	0.000000	0.000000	0.000000	
942	9.41000	0.123807	0.652886	2.267220	0.195274	0.204785	-0.002853	0.000000	0.000000	0.000000	
943	9.42000	0.078372	0.698399	2.089425	0.204071	0.195698	0.020196	0.000000	0.000000	0.000000	
944	9.43000	0.214544	0.721185	1.648041	0.176574	0.204786	0.020110	0.000000	0.000000	0.000000	
945	9.44000	0.055284	0.629941	1.912261	0.195136	0.204766	-0.007336	0.000000	0.000000	0.000000	
946	9.45000	0.055226	0.629874	1.737181	0.212180	0.268188	0.029273	0.000000	0.000000	0.000000	
947	9.46000	0.123370	0.675798	1.914177	0.212696	0.250190	0.010866	0.000000	0.000000	0.000000	
948	9.47000	0.078503	0.561380	2.001562	0.203438	0.231927	0.029237	0.000000	0.000000	0.000000	
949	9.48000	0.123434	0.653018	1.913284	0.212861	0.232109	0.006285	0.000000	0.000000	0.000000	
950	9.49000	0.101038	0.515769	1.735331	0.194418	0.222930	0.015460	0.000000	0.000000	0.000000	
951	9.50000	0.100319	0.652775	1.115349	0.203260	0.223047	0.020184	0.000000	0.000000	0.000000	
952	9.51000	0.055142	0.720969	2.181864	0.176826	0.267901	-0.007347	0.000000	0.000000	0.000000	
953	9.52000	0.100860	0.652834	2.002112	0.203803	0.231980	0.010914	0.000000	0.000000	0.000000	
954	9.53000	0.032875	0.720308	1.914949	0.131575	0.213207	0.011224	0.000000	0.000000	0.000000	
955	9.54000	0.100889	0.629851	1.735971	0.194515	0.222884	0.020130	0.000000	0.000000	0.000000	
956	9.55000	0.100761	0.698432	1.735706	0.203732	0.213885	0.020173	0.000000	0.000000	0.000000	
957	9.56000	0.237546	0.653014	2.002674	0.203502	0.232121	0.029090	0.000000	0.000000	0.000000	
958	9.57000	0.055872	0.674932	1.914175	0.167221	0.222503	0.043205	0.000000	0.000000	0.000000	
959	9.58000	0.146367	0.538490	1.647365	0.167534	0.213784	-0.002869	0.000000	0.000000	0.000000	
960	9.59000	0.123526	0.584186	1.736285	0.176642	0.222846	-0.002844	0.000000	0.000000	0.000000	
961	9.60000	0.032829	0.652348	1.913258	0.176691	0.213573	0.015678	0.000000	0.000000	0.000000	
962	9.61000	0.215228	0.538514	2.268907	0.167466	0.231831	0.015318	0.000000	0.000000	0.000000	
963	9.62000	0.032364	0.583661	1.649972	0.149190	0.267779	-0.007314	0.000000	0.000000	0.000000	
964	9.63000	0.123411	0.652780	1.647523	0.194612	0.222947	0.010945	0.000000	0.000000	0.000000	
965	9.64000	0.100660	0.720977	1.736461	0.167922	0.204603	-0.002676	0.000000	0.000000	0.000000	
966	9.65000	0.237598	0.538790	1.469863	0.202872	0.223141	0.047426	0.000000	0.000000	0.000000	
967	9.66000	0.147204	0.561439	2.444533	0.194736	0.213780	0.029149	0.000000	0.000000	0.000000	
968	9.67000	0.055866	0.584168	2.089485	0.203663	0.213775	0.029300	0.000000	0.000000	0.000000	
969	9.68000	0.191937	0.698374	1.913730	0.176821	0.204743	0.010922	0.000000	0.000000	0.000000	
970	9.69000	0.146470	0.652842	2.270120	0.203469	0.277225	0.019947	0.000000	0.000000	0.000000	
971	9.70000	0.101479	0.629524	2.091103	0.176354	0.222635	0.038490	0.000000	0.000000	0.000000	
972	9.71000	-0.058353	0.629209	1.915310	0.167297	0.267692	0.011138	0.000000	0.000000	0.000000	
