NO_OF_SAMPLES	136
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
FIRST_SAMPLE	837
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
837	8.36000	-13.786036	0.000422	551.850457	-25.645577	19.522058	0.006373	-34.804875	-46.827599	0.000000	
838	8.37000	-11.970144	1.171289	550.226030	-24.731919	18.202125	0.103706	-32.639908	-45.389683	0.000000	
839	8.38000	-10.268819	1.818593	547.799856	-23.901402	16.991115	0.187614	-30.696516	-44.120463	0.000000	
840	8.39000	-8.226707	2.945405	546.536164	-23.224343	15.888966	0.206131	-28.899837	-43.065578	0.000000	
841	8.40000	-6.477356	3.159882	546.082248	-22.702670	14.748583	0.221169	-26.963762	-42.161542	0.000000	
842	8.41000	-4.659894	3.306145	546.079047	-22.417372	13.670137	0.240636	-25.122596	-41.650087	0.000000	
843	8.42000	-3.223164	2.424630	547.959688	-22.287422	12.607471	0.256884	-23.203765	-41.206648	0.000000	
844	8.43000	-1.650933	1.498362	550.381233	-22.493558	11.560668	0.272828	-21.316257	-41.333905	0.000000	
845	8.44000	-0.711365	0.113308	554.143350	-22.627100	10.504020	0.262933	-19.335702	-41.196380	0.000000	
846	8.45000	0.087597	-1.247615	556.294186	-22.752056	9.457241	0.230296	-17.438551	-41.164919	0.000000	
847	8.46000	0.457109	-2.451323	560.319950	-22.875510	8.245477	0.175819	-15.180199	-41.005828	0.000000	
