NO_OF_FRAMES	132
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1119	11.18000	-129.598	347.807	1641.535	-231.028	520.401	1377.418	-165.161	613.537	1094.028	-30.607	630.989	903.154	-278.458	220.220	1351.969	-324.130	163.879	1046.555	-278.538	111.096	830.440	-233.357	539.189	826.550	-298.825	487.120	441.852	-398.713	428.100	70.043	-448.366	390.588	36.957	-286.176	454.402	27.055	-216.535	412.716	27.041	-206.716	192.991	812.178	-46.108	224.670	474.854	-58.467	268.378	96.335	-97.160	322.258	47.547	42.816	224.800	48.333	109.442	239.335	63.416
1120	11.19000	-119.716	346.461	1640.309	-220.455	519.848	1376.633	-153.193	612.917	1093.602	-13.920	629.264	905.399	-267.378	219.701	1350.893	-314.406	164.372	1044.763	-271.584	111.334	829.058	-224.171	538.431	825.512	-292.780	486.079	441.670	-397.638	427.290	71.522	-448.186	389.520	38.700	-286.321	454.052	27.006	-216.370	412.302	27.212	-192.663	191.213	811.098	-38.724	224.372	470.314	-25.460	266.409	90.960	-63.441	318.841	39.715	80.138	226.285	48.802	144.970	242.863	67.642
1121	11.20000	-109.766	345.071	1639.829	-210.092	519.498	1375.770	-141.870	612.590	1093.272	2.147	627.678	908.398	-256.219	219.035	1349.656	-304.725	164.684	1043.189	-264.502	111.460	827.823	-214.935	537.699	824.243	-286.587	484.720	440.883	-397.094	426.489	73.032	-448.072	388.469	40.755	-286.545	453.607	27.122	-216.759	412.553	27.271	-181.465	190.397	810.733	-32.151	224.116	465.839	5.630	264.198	86.207	-30.589	315.368	33.376	115.620	227.650	50.560	178.646	246.966	73.131
1122	11.21000	-99.562	342.886	1638.401	-199.472	518.796	1374.901	-129.925	611.658	1092.186	17.204	626.050	910.609	-244.735	218.368	1348.217	-294.763	164.657	1042.200	-256.568	111.600	826.374	-205.580	536.751	823.385	-280.874	483.634	441.164	-395.945	426.340	73.349	-447.934	387.866	42.822	-286.776	453.213	27.196	-217.096	412.564	26.847	-169.859	189.671	809.501	-25.816	223.623	461.333	35.158	262.203	83.310	0.873	312.444	28.014	148.361	228.827	52.985	210.382	250.912	80.628
1123	11.22000	-90.073	341.914	1638.408	-188.707	517.998	1373.656	-118.975	610.938	1091.383	32.264	624.636	912.820	-233.547	217.488	1346.829	-284.285	164.551	1042.047	-249.090	111.485	825.151	-195.862	535.833	822.217	-273.930	482.939	440.964	-396.361	424.882	76.942	-447.572	387.589	45.248	-286.841	452.827	27.507	-217.084	412.517	27.073	-158.362	189.229	808.257	-19.060	222.416	456.621	63.009	260.666	82.017	30.104	309.870	24.663	178.937	230.233	56.422	239.371	254.100	87.015
1124	11.23000	-79.816	340.487	1637.459	-177.707	517.091	1372.675	-107.756	610.086	1090.292	46.975	622.999	915.168	-221.999	216.506	1345.614	-274.859	164.320	1041.125	-241.080	111.839	823.405	-186.412	534.661	821.561	-266.665	481.891	440.268	-395.223	425.462	78.922	-447.381	387.713	47.799	-286.608	453.060	27.135	-217.296	412.653	27.111	-146.268	188.482	806.980	-12.513	221.034	454.151	88.043	259.470	81.718	56.562	308.189	22.670	206.202	231.272	61.825	264.654	256.921	94.296
1125	11.24000	-70.452	339.254	1636.891	-166.900	516.184	1371.667	-96.683	608.916	1089.651	61.039	621.248	916.397	-210.298	215.300	1344.298	-264.231	164.106	1039.186	-232.434	111.671	821.701	-177.038	533.329	820.267	-259.610	481.482	440.321	-394.360	426.088	80.323	-446.921	388.469	50.553	-286.854	453.023	26.983	-217.291	412.340	27.234	-134.605	187.559	806.335	-5.517	219.143	450.524	109.408	259.158	82.053	79.972	307.106	21.848	228.933	232.904	66.430	287.419	259.605	100.342
1126	11.25000	-59.904	337.413	1636.060	-155.569	514.931	1370.521	-85.707	607.962	1088.050	74.494	619.970	918.160	-198.368	214.126	1342.940	-254.211	163.821	1037.482	-224.026	111.537	820.194	-167.309	532.423	819.716	-251.552	480.948	439.889	-393.080	427.184	82.449	-446.424	389.372	53.678	-286.712	453.072	26.905	-217.188	412.453	26.969	-121.664	186.578	804.865	2.339	217.041	447.828	128.636	258.928	81.887	100.178	307.027	20.756	249.292	234.659	70.121	306.601	262.148	105.039
1127	11.26000	-50.297	336.366	1635.831	-144.235	513.719	1369.757	-75.257	606.851	1087.488	87.466	618.343	919.201	-186.588	212.849	1341.640	-243.008	163.745	1035.955	-214.878	111.169	818.618	-157.346	531.192	818.936	-242.893	480.537	440.460	-391.035	428.234	84.359	-445.733	390.650	57.448	-286.261	453.068	26.764	-217.208	412.381	27.064	-109.697	185.291	804.600	10.388	214.800	445.560	144.321	258.996	82.060	116.555	307.109	20.410	265.277	235.713	70.864	323.376	264.910	107.104
1128	11.27000	-39.925	334.111	1635.455	-132.984	512.436	1368.744	-64.532	605.563	1086.332	99.893	617.204	920.234	-174.521	211.410	1340.267	-232.970	162.401	1036.385	-205.401	110.854	817.672	-146.933	530.086	818.471	-233.678	480.387	439.560	-389.154	429.351	87.782	-445.042	392.035	61.351	-286.427	453.329	26.766	-217.395	412.056	27.152	-97.271	184.436	803.629	19.090	213.194	442.909	157.411	259.317	81.290	129.359	307.570	19.384	278.531	237.410	70.779	336.684	266.731	107.730
