NO_OF_SAMPLES	132
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
FIRST_SAMPLE	1119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1119	11.18000	23.996804	-9.807853	544.441140	44.714383	-35.939229	-4.416020	64.068699	82.301809	0.000000	
1120	11.19000	21.476942	-13.489346	556.324740	46.324688	-36.056713	-4.735882	63.092019	83.695142	0.000000	
1121	11.20000	19.004808	-19.615336	565.455137	47.650940	-36.174888	-5.171471	62.457369	85.120161	0.000000	
1122	11.21000	17.419591	-25.626802	574.594349	48.823682	-36.283900	-5.658358	61.763297	86.223300	0.000000	
1123	11.22000	16.403437	-31.728413	583.022990	50.013524	-36.455335	-6.090881	61.233028	87.434575	0.000000	
1124	11.23000	16.569857	-38.240577	589.596568	50.967288	-36.689740	-6.593401	60.934729	88.519762	0.000000	
1125	11.24000	17.804896	-44.592618	594.497155	51.800696	-36.860233	-7.018924	60.633583	89.621290	0.000000	
1126	11.25000	19.606360	-50.602295	597.370228	52.541810	-36.921845	-7.440166	60.321890	90.836787	0.000000	
1127	11.26000	20.975426	-56.251758	598.132042	53.025698	-36.796144	-7.727072	59.941748	91.912990	0.000000	
1128	11.27000	22.319744	-61.948051	595.885987	53.434326	-36.571079	-7.986173	59.698934	93.335540	0.000000	
1129	11.28000	22.754029	-67.515265	590.645978	53.413171	-36.115179	-8.142240	59.428185	94.515540	0.000000	
1130	11.29000	23.049971	-73.339003	581.350490	52.970879	-35.381498	-8.297522	59.098144	95.681788	0.000000	
1131	11.30000	22.775305	-78.965136	567.739259	52.025410	-34.317241	-8.391359	58.663739	96.726258	0.000000	
1132	11.31000	21.724292	-83.777045	548.923483	50.702883	-32.958189	-8.322195	58.281729	98.007678	0.000000	
1133	11.32000	20.124101	-87.896725	521.213590	48.336981	-30.982964	-8.043365	57.723358	99.029684	0.000000	
1134	11.33000	18.062146	-90.703682	484.958250	45.211210	-28.416296	-7.674410	56.930265	100.264525	0.000000	
1135	11.34000	14.061804	-92.363521	439.534270	41.134924	-25.307010	-7.148747	56.125113	101.563456	0.000000	
1136	11.35000	8.324882	-90.684251	385.753771	36.235666	-21.537290	-6.337081	54.802807	102.923716	0.000000	
1137	11.36000	2.304247	-82.532124	325.029389	30.908324	-17.519890	-5.083423	53.462147	104.848077	0.000000	
1138	11.37000	-2.815002	-69.773748	259.384464	25.192117	-13.442003	-3.652239	52.111074	107.489112	0.000000	
1139	11.38000	-5.917632	-52.881485	191.817504	19.371867	-9.498881	-2.201920	50.620982	111.629230	0.000000	
1140	11.39000	-6.412558	-30.039327	130.983173	14.373399	-6.100442	-0.821138	48.410212	118.490338	0.000000	
1141	11.40000	-4.622170	-7.511094	90.080255	11.180705	-4.017635	0.369416	46.532223	126.947117	0.000000	
1142	11.41000	-2.006406	-2.982813	59.696653	7.674050	-2.589782	0.252642	44.595021	130.021317	0.000000	
1143	11.42000	0.228295	-0.251359	35.121205	4.670646	-1.538702	0.019425	43.394799	132.718372	0.000000	
1144	11.43000	2.579912	2.785204	17.697091	2.361093	-0.736737	-0.178633	35.557135	126.466199	0.000000	
1145	11.44000	1.148320	0.887093	5.445026	0.462337	-0.045503	-0.073335	-0.360972	77.734257	0.000000	
1146	11.45000	1.080716	0.541504	3.948011	0.233074	0.079515	-0.022608	0.000000	0.000000	0.000000	
1147	11.46000	0.717270	0.357933	4.214091	0.223528	0.133225	-0.013154	0.000000	0.000000	0.000000	
1148	11.47000	0.739807	0.289476	3.770986	0.223051	0.142385	-0.008616	0.000000	0.000000	0.000000	
1149	11.48000	0.557312	0.403267	3.326563	0.223364	0.115044	-0.017396	0.000000	0.000000	0.000000	
1150	11.49000	0.807334	0.335278	3.150860	0.214006	0.133492	-0.026947	0.000000	0.000000	0.000000	
1151	11.50000	0.557067	0.540299	3.770715	0.215175	0.114946	-0.049446	0.000000	0.000000	0.000000	
1152	11.51000	0.739188	0.426862	3.325066	0.250819	0.079318	-0.022214	0.000000	0.000000	0.000000	
1153	11.52000	0.625774	0.517429	3.771443	0.223418	0.133097	-0.003703	0.000000	0.000000	0.000000	
1154	11.53000	0.580207	0.539643	3.506786	0.178111	0.132724	-0.008105	0.000000	0.000000	0.000000	
1155	11.54000	0.625314	0.539651	3.419032	0.151375	0.132683	-0.044819	0.000000	0.000000	0.000000	
1156	11.55000	0.534663	0.357410	3.416653	0.213972	0.151127	-0.012848	0.000000	0.000000	0.000000	
1157	11.56000	0.625444	0.425943	3.150452	0.196170	0.114957	-0.021992	0.000000	0.000000	0.000000	
1158	11.57000	0.489303	0.426093	3.681761	0.250202	0.151239	0.005524	0.000000	0.000000	0.000000	
1159	11.58000	0.625131	0.402862	2.887203	0.177477	0.169161	-0.022024	0.000000	0.000000	0.000000	
1160	11.59000	0.443604	0.494255	3.682718	0.223398	0.150989	-0.012672	0.000000	0.000000	0.000000	
1161	11.60000	0.534346	0.517171	3.328515	0.214212	0.142044	-0.012716	0.000000	0.000000	0.000000	
1162	11.61000	0.512086	0.631028	3.770908	0.196790	0.096504	-0.007959	0.000000	0.000000	0.000000	
1163	11.62000	0.374944	0.448480	3.150731	0.223064	0.160055	-0.017168	0.000000	0.000000	0.000000	
1164	11.63000	0.579707	0.585220	3.154378	0.177580	0.178003	-0.003514	0.000000	0.000000	0.000000	
1165	11.64000	0.579785	0.539948	3.240827	0.204993	0.151080	-0.008158	0.000000	0.000000	0.000000	
1166	11.65000	0.534606	0.494024	3.152201	0.204461	0.160022	0.019401	0.000000	0.000000	0.000000	
1167	11.66000	0.443582	0.516894	3.328721	0.222797	0.160016	0.014899	0.000000	0.000000	0.000000	
1168	11.67000	0.534347	0.357400	3.062469	0.213709	0.160233	-0.012829	0.000000	0.000000	0.000000	
1169	11.68000	0.534117	0.585499	3.063246	0.205044	0.141982	-0.008037	0.000000	0.000000	0.000000	
1170	11.69000	0.511103	0.426211	3.063594	0.249693	0.205716	-0.012881	0.000000	0.000000	0.000000	
1171	11.70000	0.489033	0.539652	3.417647	0.196140	0.141805	-0.008023	0.000000	0.000000	0.000000	
1172	11.71000	0.511556	0.402682	3.154094	0.195192	0.214304	-0.003635	0.000000	0.000000	0.000000	
1173	11.72000	0.488728	0.585378	3.063605	0.213735	0.160042	0.010338	0.000000	0.000000	0.000000	
1174	11.73000	0.556633	0.494060	2.889228	0.195087	0.223432	-0.003620	0.000000	0.000000	0.000000	
1175	11.74000	0.533812	0.562755	2.886187	0.205033	0.151103	-0.021818	0.000000	0.000000	0.000000	
1176	11.75000	0.557067	0.562288	3.421088	0.168637	0.195988	-0.012709	0.000000	0.000000	0.000000	
1177	11.76000	0.534230	0.562502	3.331587	0.195637	0.196161	-0.003544	0.000000	0.000000	0.000000	
1178	11.77000	0.352426	0.562235	3.419034	0.213682	0.196001	0.010423	0.000000	0.000000	0.000000	
1179	11.78000	0.556973	0.380110	2.708927	0.213093	0.178353	0.010110	0.000000	0.000000	0.000000	
1180	11.79000	0.443195	0.539439	3.241438	0.178063	0.159774	-0.026294	0.000000	0.000000	0.000000	
1181	11.80000	0.534208	0.494066	2.887015	0.204303	0.178188	0.010222	0.000000	0.000000	0.000000	
