NO_OF_SAMPLES	132
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
FIRST_SAMPLE	1119
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 2
FORCE_PLATE_CORNER_POSX_POSY_X	517.924011
FORCE_PLATE_CORNER_POSX_POSY_Y	474.072998
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	519.979004
FORCE_PLATE_CORNER_NEGX_POSY_Y	17.014200
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	17.079901
FORCE_PLATE_CORNER_NEGX_NEGY_Y	17.752501
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	16.074800
FORCE_PLATE_CORNER_POSX_NEGY_Y	475.464996
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1119	11.18000	1.499814	0.625600	2.641088	0.323286	0.252555	0.099602	0.000000	0.000000	0.000000	
1120	11.19000	1.366322	0.532718	3.715027	0.314387	0.251643	0.118388	0.000000	0.000000	0.000000	
1121	11.20000	1.546376	0.465628	2.643300	0.295514	0.306691	0.131696	0.000000	0.000000	0.000000	
1122	11.21000	1.526298	0.669413	3.983123	0.351014	0.242782	0.131768	0.000000	0.000000	0.000000	
1123	11.22000	1.432947	0.533492	2.910470	0.313968	0.288432	0.122766	0.000000	0.000000	0.000000	
1124	11.23000	1.502751	0.532978	3.447627	0.323158	0.306477	0.131807	0.000000	0.000000	0.000000	
1125	11.24000	1.479101	0.442367	3.089972	0.313854	0.306671	0.118093	0.000000	0.000000	0.000000	
1126	11.25000	1.525061	0.488018	3.447211	0.323370	0.233855	0.118036	0.000000	0.000000	0.000000	
1127	11.26000	1.411789	0.509949	3.536922	0.305159	0.242381	0.141274	0.000000	0.000000	0.000000	
1128	11.27000	1.478670	0.533693	2.999399	0.350430	0.270611	0.113484	0.000000	0.000000	0.000000	
1129	11.28000	1.480478	0.487474	3.715109	0.359733	0.261273	0.113537	0.000000	0.000000	0.000000	
1130	11.29000	1.366226	3.012101	6.569855	0.082926	0.101969	0.246305	-24.298066	-6.132872	0.000000	
1131	11.30000	-8.282878	15.732277	155.948002	-12.902458	-7.550973	-0.009813	50.119549	-87.139821	0.000000	
1132	11.31000	17.052563	12.722913	230.915903	-19.592199	-13.238861	2.269772	53.936509	-87.412381	0.000000	
1133	11.32000	22.460373	23.201760	274.752717	-22.381124	-16.055626	3.401258	54.724149	-85.203740	0.000000	
1134	11.33000	17.895682	39.138527	280.924904	-21.629261	-16.392944	3.966784	55.365158	-82.939835	0.000000	
1135	11.34000	12.013256	40.059247	275.246917	-20.449607	-15.685453	3.492216	54.803467	-80.491882	0.000000	
1136	11.35000	8.707680	30.037679	278.217428	-20.569909	-15.482205	2.511128	53.960005	-78.623094	0.000000	
1137	11.36000	4.287290	28.837230	287.589287	-20.502915	-15.559897	2.016794	53.074504	-75.672074	0.000000	
1138	11.37000	-0.455208	37.918133	301.026172	-19.548730	-15.556157	1.965048	51.305978	-70.351043	0.000000	
1139	11.38000	-4.932088	48.131848	323.673557	-18.860808	-16.022436	1.972707	49.681562	-64.594507	0.000000	
1140	11.39000	-9.002909	52.744106	352.432015	-18.803911	-16.902575	1.779993	48.553194	-59.716374	0.000000	
1141	11.40000	-11.903901	53.990246	384.343423	-19.294391	-18.222379	1.531190	48.222880	-56.194016	0.000000	
1142	11.41000	-13.056506	56.780874	426.186666	-19.986981	-20.093646	1.522117	47.945194	-52.599635	0.000000	
1143	11.42000	-11.506072	57.125451	464.115794	-20.856561	-22.179119	1.530674	48.351027	-50.233497	0.000000	
1144	11.43000	-9.798866	55.810718	499.638999	-21.856731	-24.200154	1.498015	48.790542	-48.583474	0.000000	
1145	11.44000	-9.705665	53.396046	532.570610	-22.715402	-25.931495	1.575004	48.990760	-47.031649	0.000000	
1146	11.45000	-10.943334	51.435461	559.592179	-23.367943	-27.251554	1.668170	49.051973	-45.803253	0.000000	
1147	11.46000	-13.079578	49.134296	579.095620	-23.534722	-28.020024	1.721502	48.860463	-44.401141	0.000000	
1148	11.47000	-15.786702	45.906660	583.393193	-23.111790	-27.777409	1.729209	48.267707	-43.129695	0.000000	
1149	11.48000	-19.661851	41.267825	582.233416	-22.421051	-27.185249	1.606443	47.614770	-41.708795	0.000000	
1150	11.49000	-23.006332	36.454420	573.114830	-21.552888	-26.205313	1.463494	46.903572	-40.514876	0.000000	
1151	11.50000	-25.392499	31.529013	563.550399	-20.340049	-25.194611	1.368885	46.083405	-38.693558	0.000000	
1152	11.51000	-27.966161	26.150227	549.599477	-18.648464	-23.960076	1.219406	45.205824	-36.196109	0.000000	
1153	11.52000	-30.328883	21.383378	535.639620	-16.102675	-22.546958	1.119657	43.934067	-32.020235	0.000000	
1154	11.53000	-31.074323	21.125481	523.356048	-12.541420	-21.217967	1.202919	42.493169	-25.939001	0.000000	
1155	11.54000	-30.360755	22.440553	512.321258	-8.668527	-20.014059	1.429375	41.011916	-19.033551	0.000000	
1156	11.55000	-28.588329	21.706829	504.967420	-4.905774	-18.983734	1.645279	39.434220	-11.795770	0.000000	
1157	11.56000	-26.081790	23.044165	502.792953	-1.100568	-18.391714	1.932709	38.229101	-4.383852	0.000000	
1158	11.57000	-23.956308	23.422707	502.499248	2.685981	-17.827940	2.166367	36.960006	3.118994	0.000000	
1159	11.58000	-22.464253	23.047459	503.367599	6.526586	-17.255247	2.314524	35.638821	10.772738	0.000000	
1160	11.59000	-21.721637	23.352083	505.300842	10.559555	-16.709753	2.432057	34.362296	18.687291	0.000000	
1161	11.60000	-21.597716	23.451469	504.996999	14.591085	-16.045768	2.532553	33.058552	26.674126	0.000000	
1162	11.61000	-22.085695	24.116251	506.479529	18.496731	-15.366447	2.666491	31.657928	34.253691	0.000000	
1163	11.62000	-22.532690	24.282402	506.088212	22.192163	-14.751578	2.814283	30.503241	41.569229	0.000000	
1164	11.63000	-22.524055	24.632435	507.487822	25.625819	-14.375127	2.956575	29.675450	48.191911	0.000000	
1165	11.64000	-22.146284	24.981300	511.216555	28.924311	-14.164656	3.176366	29.014489	54.262666	0.000000	
1166	11.65000	-20.540962	24.585069	515.937987	31.832348	-14.163894	3.311018	28.618676	59.430074	0.000000	
1167	11.66000	-18.387946	22.507055	521.655771	34.275870	-14.429490	3.408519	28.643763	63.618804	0.000000	
1168	11.67000	-15.693719	19.341014	526.222353	36.154235	-14.688025	3.449952	28.677274	66.874614	0.000000	
1169	11.68000	-13.340059	15.514403	532.223979	37.660254	-15.076985	3.428239	28.902369	69.234707	0.000000	
1170	11.69000	-12.086403	11.164335	535.811744	38.792251	-15.441148	3.340225	29.291698	71.207228	0.000000	
1171	11.70000	-10.965330	5.629362	540.927130	39.659811	-15.843978	3.211719	29.672141	72.544964	0.000000	
1172	11.71000	-10.037436	0.984269	541.749448	40.308101	-16.038524	3.184082	29.916817	73.975071	0.000000	
1173	11.72000	-9.704302	-4.935439	541.326506	40.563349	-16.153510	3.084682	30.128246	74.943537	0.000000	
1174	11.73000	-9.630578	-11.057337	537.238802	40.598671	-16.186955	2.985744	30.417516	76.039521	0.000000	
1175	11.74000	-10.529645	-16.320604	535.737619	40.763104	-16.176932	2.925596	30.552599	76.954787	0.000000	
1176	11.75000	-12.567301	-20.973312	534.050978	40.982727	-16.150239	2.895431	30.753593	77.959822	0.000000	
1177	11.76000	-15.400125	-24.810380	533.072827	41.339834	-16.069712	2.889778	30.873022	79.062300	0.000000	
1178	11.77000	-18.703373	-29.220574	534.598809	41.788158	-16.072052	2.867251	31.036014	80.005294	0.000000	
1179	11.78000	-21.525023	-33.471358	537.465835	42.391757	-16.118804	2.857418	31.165830	81.017069	0.000000	
1180	11.79000	-24.091056	-37.926941	542.834303	43.196937	-16.437128	2.778434	31.629458	82.025009	0.000000	
1181	11.80000	-25.585860	-42.516369	548.475324	44.065465	-16.726463	2.719971	31.936611	83.097073	0.000000	
1182	11.81000	-26.009092	-47.716014	555.371232	44.998005	-17.167833	2.549088	32.360014	84.115726	0.000000	
1183	11.82000	-25.415814	-53.522893	559.500339	45.774453	-17.606821	2.302391	32.860063	85.296598	0.000000	
1184	11.83000	-23.961422	-60.189139	562.562616	46.368025	-18.098982	1.962073	33.449943	86.361032	0.000000	
1185	11.84000	-21.854957	-67.531877	563.036950	46.696480	-18.589992	1.533035	34.143329	87.394714	0.000000	
1186	11.85000	-19.054164	-75.094637	560.296219	46.669290	-19.034584	1.010329	34.905340	88.317117	0.000000	
1187	11.86000	-16.169813	-83.586854	554.611486	46.276050	-19.361472	0.432415	35.648229	89.131471	0.000000	
1188	11.87000	-12.397214	-92.066583	541.956727	45.298783	-19.550479	-0.253751	36.560090	90.045712	0.000000	
1189	11.88000	-7.797898	-100.423583	525.375315	43.592882	-19.476866	-1.020453	37.236150	90.290229	0.000000	
1190	11.89000	-2.338591	-107.665034	492.343329	40.736683	-18.827837	-1.956315	38.000099	91.160814	0.000000	
1191	11.90000	3.556680	-110.930373	448.306038	36.735874	-17.644634	-2.868181	38.608266	91.518539	0.000000	
1192	11.91000	10.160908	-108.777036	384.764295	31.379700	-15.734426	-3.675062	39.402064	92.545796	0.000000	
1193	11.92000	15.370821	-98.193965	307.067421	25.000331	-13.012401	-4.074276	39.935683	93.894228	0.000000	
1194	11.93000	17.741577	-75.916887	218.772069	18.384422	-9.598796	-3.704934	40.189431	97.605346	0.000000	
1195	11.94000	14.443491	-39.401085	134.253640	12.440753	-5.955955	-2.243250	39.614106	104.088477	0.000000	
1196	11.95000	8.726931	-10.684191	74.342300	8.033012	-3.271670	-0.835193	38.865352	113.466410	0.000000	
1197	11.96000	4.363156	1.589563	48.552682	5.972622	-1.997855	0.018267	37.109951	121.343742	0.000000	
1198	11.97000	2.357461	6.375911	33.611566	4.435308	-1.225904	0.355286	33.226074	123.989395	0.000000	
1199	11.98000	0.731769	6.448751	21.372801	2.983906	-0.625288	0.532708	27.450406	127.147781	0.000000	
1200	11.99000	-0.281641	6.516599	16.728976	2.290545	-0.357968	0.663339	21.641897	120.932214	0.000000	
1201	12.00000	0.315770	3.340956	9.865279	1.329255	-0.103949	0.460448	8.820498	120.794138	0.000000	
1202	12.01000	1.662147	0.488567	3.983705	0.314876	0.115524	0.113227	0.000000	0.000000	0.000000	
1203	12.02000	1.502110	0.351556	3.268827	0.314237	0.151783	0.131989	0.000000	0.000000	0.000000	
1204	12.03000	1.524569	0.533891	3.446669	0.314631	0.142747	0.122682	0.000000	0.000000	0.000000	
1205	12.04000	1.411440	0.419488	3.625802	0.305468	0.133334	0.123008	0.000000	0.000000	0.000000	
1206	12.05000	1.638090	0.670861	3.536118	0.296595	0.179209	0.117738	0.000000	0.000000	0.000000	
1207	12.06000	1.571667	0.442321	3.984141	0.314557	0.188136	0.118002	0.000000	0.000000	0.000000	
1208	12.07000	1.570461	0.511075	3.536534	0.314586	0.151829	0.127178	0.000000	0.000000	0.000000	
1209	12.08000	1.480196	0.601466	3.803747	0.360168	0.179245	0.122749	0.000000	0.000000	0.000000	
1210	12.09000	1.548004	0.488100	3.626081	0.314467	0.197353	0.118016	0.000000	0.000000	0.000000	
1211	12.10000	1.412635	0.578261	4.340800	0.296846	0.142079	0.122964	0.000000	0.000000	0.000000	
1212	12.11000	1.501568	0.442686	3.089826	0.305033	0.215547	0.127301	0.000000	0.000000	0.000000	
1213	12.12000	1.525138	0.488130	3.625852	0.314554	0.170019	0.118090	0.000000	0.000000	0.000000	
1214	12.13000	1.501703	0.488223	3.268307	0.305281	0.179074	0.127316	0.000000	0.000000	0.000000	
1215	12.14000	1.547762	0.579319	3.714836	0.314737	0.170067	0.113406	0.000000	0.000000	0.000000	
1216	12.15000	1.479721	0.465206	3.625674	0.323591	0.179160	0.113603	0.000000	0.000000	0.000000	
1217	12.16000	1.592274	0.579947	3.536433	0.260149	0.188179	0.099487	0.000000	0.000000	0.000000	
1218	12.17000	1.388950	0.464744	3.804757	0.287253	0.196898	0.113809	0.000000	0.000000	0.000000	
1219	12.18000	1.525123	0.465238	3.447322	0.323337	0.233854	0.118045	0.000000	0.000000	0.000000	
1220	12.19000	1.388916	0.646904	3.982158	0.323944	0.206325	0.099946	0.000000	0.000000	0.000000	
1221	12.20000	1.546952	0.374846	2.999890	0.350401	0.216204	0.104235	0.000000	0.000000	0.000000	
1222	12.21000	1.548162	0.533540	3.804951	0.296428	0.197155	0.118004	0.000000	0.000000	0.000000	
1223	12.22000	1.503900	0.282718	3.984075	0.350676	0.197522	0.104431	0.000000	0.000000	0.000000	
1224	12.23000	1.569553	0.579945	3.535881	0.287434	0.188430	0.090348	0.000000	0.000000	0.000000	
1225	12.24000	1.412490	0.464494	3.983326	0.332758	0.188022	0.118367	0.000000	0.000000	0.000000	
1226	12.25000	1.547006	0.534034	3.267994	0.314392	0.206652	0.113380	0.000000	0.000000	0.000000	
1227	12.26000	1.390000	0.441657	4.162021	0.332804	0.197157	0.104640	0.000000	0.000000	0.000000	
1228	12.27000	1.478828	0.510909	3.178678	0.314309	0.197341	0.127344	0.000000	0.000000	0.000000	
1229	12.28000	1.526392	0.442130	4.162841	0.305579	0.178879	0.113526	0.000000	0.000000	0.000000	
1230	12.29000	1.479470	0.533465	3.536231	0.314515	0.188141	0.122758	0.000000	0.000000	0.000000	
1231	12.30000	1.411676	0.578526	3.804297	0.305476	0.233461	0.113683	0.000000	0.000000	0.000000	
1232	12.31000	1.547992	0.419909	3.536623	0.332548	0.188461	0.113451	0.000000	0.000000	0.000000	
1233	12.32000	1.525864	0.601504	3.983366	0.314792	0.178877	0.127245	0.000000	0.000000	0.000000	
1234	12.33000	1.502990	0.464953	3.715413	0.332620	0.197323	0.122733	0.000000	0.000000	0.000000	
1235	12.34000	1.501354	0.647670	3.267297	0.323674	0.188354	0.122648	0.000000	0.000000	0.000000	
1236	12.35000	1.526253	0.487503	3.804753	0.359912	0.197412	0.131868	0.000000	0.000000	0.000000	
1237	12.36000	1.524868	0.533809	3.625486	0.314535	0.215713	0.099651	0.000000	0.000000	0.000000	
1238	12.37000	1.480666	0.601158	4.072832	0.314604	0.260816	0.113504	0.000000	0.000000	0.000000	
1239	12.38000	1.524360	0.420206	3.178686	0.332362	0.215972	0.104277	0.000000	0.000000	0.000000	
1240	12.39000	1.525965	0.578688	3.983528	0.314729	0.187976	0.127247	0.000000	0.000000	0.000000	
