NO_OF_FRAMES	1124
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:24:47	11034.90356421
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
902	9.01000	31.289	289.390	1662.649	76.217	415.463	1398.038	209.643	447.726	1127.234	298.992	384.263	917.933	-197.268	316.071	1376.969	-308.919	367.547	1097.365	-382.098	327.549	883.181	135.209	383.552	847.801	142.199	410.653	454.582	140.901	410.384	65.561	103.889	449.955	25.436	176.404	292.292	25.258	136.001	220.322	27.001	-208.073	325.072	848.298	-231.371	394.250	466.994	-220.581	412.633	79.001	-177.983	458.871	28.982	-270.879	309.850	27.355	-238.531	236.286	28.905
903	9.02000	30.968	288.136	1662.530	77.179	415.708	1397.718	210.884	445.406	1127.192	300.540	377.747	919.465	-196.824	317.557	1377.316	-308.507	367.883	1097.318	-382.486	326.840	883.701	135.123	383.857	847.653	142.143	410.821	454.338	141.057	410.358	65.238	103.868	449.996	25.522	176.241	292.219	25.150	135.993	220.278	27.071	-208.074	325.291	848.325	-231.637	394.500	467.211	-220.708	412.590	79.133	-178.082	458.900	28.979	-270.871	309.793	27.561	-238.557	236.299	28.847
904	9.03000	30.640	287.119	1662.169	78.084	415.905	1397.244	211.944	443.382	1126.924	302.078	371.746	920.355	-196.153	319.309	1377.669	-308.325	368.413	1097.364	-382.654	326.494	884.352	135.151	384.043	847.534	142.141	410.947	454.388	140.984	410.316	65.139	103.902	449.996	25.464	176.136	292.378	25.056	135.992	220.381	27.223	-208.158	325.463	848.267	-231.651	394.549	467.248	-220.489	412.761	78.995	-178.107	458.932	28.943	-270.705	309.806	27.368	-238.444	236.268	28.759
905	9.04000	30.287	285.865	1661.875	78.947	415.884	1396.972	213.362	441.574	1126.737	303.127	366.392	921.385	-195.635	320.839	1378.017	-307.989	369.141	1097.600	-382.415	326.212	884.760	135.212	384.166	847.500	142.220	411.143	454.483	140.653	410.638	65.490	103.884	450.048	25.367	176.031	292.242	25.168	135.956	220.495	27.301	-208.050	325.806	848.320	-231.697	394.716	466.972	-220.792	412.695	79.042	-178.107	458.863	28.915	-270.785	309.731	27.515	-238.462	236.283	28.819
906	9.05000	29.881	285.087	1661.574	80.042	415.826	1396.736	214.318	440.100	1126.274	303.896	361.961	922.385	-195.147	322.424	1378.358	-307.869	370.242	1098.194	-382.256	326.298	885.129	134.989	383.814	847.577	142.288	411.144	454.245	140.768	410.769	65.386	103.931	450.045	25.381	176.111	292.194	25.236	135.860	220.472	27.060	-207.957	326.206	848.260	-231.526	394.545	467.189	-220.802	412.751	79.199	-178.118	458.788	28.921	-270.657	309.763	27.375	-238.498	236.295	28.852
907	9.06000	29.489	284.094	1661.903	80.950	415.761	1396.578	215.235	438.776	1125.926	304.239	358.146	922.185	-194.770	324.192	1378.594	-306.770	371.918	1098.350	-382.157	326.355	885.544	134.804	383.750	847.648	142.329	411.194	454.349	140.838	410.325	65.256	103.836	450.011	25.413	175.931	292.249	25.119	136.088	220.517	26.873	-208.055	326.365	848.249	-231.340	394.664	467.052	-220.548	412.676	79.024	-178.084	458.849	28.840	-270.950	309.747	27.597	-238.473	236.235	28.827
908	9.07000	28.957	283.222	1661.577	81.988	415.539	1396.318	216.242	437.204	1125.787	304.302	354.676	921.996	-194.419	325.853	1378.700	-307.127	372.679	1098.162	-382.077	326.616	885.802	135.458	384.325	847.729	142.322	411.080	454.397	140.843	410.568	65.565	104.008	450.045	25.379	176.188	292.121	25.193	136.197	220.406	27.084	-208.020	326.737	848.308	-231.339	394.670	466.981	-221.023	412.653	79.324	-178.092	458.819	28.832	-270.593	309.719	27.427	-238.566	236.253	28.893
909	9.08000	28.089	282.266	1661.621	82.959	415.319	1396.216	217.055	435.551	1125.507	304.403	352.307	921.402	-193.971	327.488	1378.750	-307.267	373.672	1098.150	-382.006	327.048	885.908	135.650	384.168	847.684	142.497	410.979	454.369	140.922	410.313	65.338	103.967	450.039	25.466	176.070	292.165	25.129	136.000	220.369	27.116	-207.991	327.117	848.314	-231.443	395.279	467.170	-220.445	412.621	79.111	-178.064	458.805	28.925	-270.623	309.847	27.351	-238.461	236.238	28.734
910	9.09000	27.144	281.566	1662.047	84.017	415.078	1396.197	217.802	433.711	1125.080	303.796	350.504	920.474	-193.372	329.284	1378.716	-307.087	374.739	1098.146	-382.029	327.709	886.269	135.870	383.976	847.787	142.528	410.722	454.276	140.810	410.346	64.914	104.009	450.100	25.507	176.221	292.400	25.323	136.262	220.489	26.893	-208.012	327.778	848.445	-231.164	394.762	466.970	-220.599	412.714	79.042	-178.011	458.848	28.878	-270.692	309.748	27.414	-238.450	236.244	28.800
911	9.10000	26.509	281.152	1662.109	85.010	414.782	1396.113	218.160	432.169	1124.774	302.605	349.791	919.167	-192.995	330.947	1378.739	-307.012	375.988	1098.173	-382.031	328.537	886.419	136.191	383.677	847.550	142.541	410.500	454.500	140.621	410.514	65.581	104.037	450.143	25.466	175.986	292.217	25.315	136.248	220.392	27.072	-208.026	328.498	848.628	-231.355	394.856	467.042	-220.723	412.692	79.169	-178.034	458.818	28.812	-270.659	309.820	27.529	-238.474	236.202	28.867
912	9.11000	25.843	280.890	1662.514	86.138	414.339	1395.929	218.701	430.992	1124.402	301.453	349.709	917.390	-192.451	332.642	1378.713	-306.594	377.433	1098.206	-381.844	329.496	886.516	136.451	383.307	847.656	142.624	410.117	454.346	140.819	410.128	65.227	103.990	450.132	25.458	176.000	292.117	25.426	136.099	220.343	27.133	-208.051	329.258	848.583	-231.069	395.211	466.910	-220.631	412.621	79.040	-178.020	458.723	28.927	-270.746	309.788	27.375	-238.503	236.265	28.876
913	9.12000	24.558	280.027	1662.864	87.344	413.820	1395.754	218.914	429.848	1123.956	300.333	350.065	916.150	-191.984	334.372	1378.685	-306.238	378.988	1098.267	-381.811	330.725	886.773	136.905	382.819	847.744	142.816	409.627	454.205	140.630	410.297	65.795	104.134	450.121	25.513	176.160	292.047	25.293	135.682	220.391	27.259	-208.024	330.224	848.582	-230.890	395.366	466.890	-220.762	412.716	79.149	-178.007	458.796	28.902	-270.734	309.845	27.558	-238.539	236.208	28.915
914	9.13000	23.725	279.685	1663.143	88.613	413.384	1395.628	219.030	429.347	1123.276	298.893	351.309	914.373	-191.598	336.075	1378.554	-305.921	380.634	1098.348	-381.776	332.139	886.900	136.990	381.964	847.492	143.087	409.190	454.108	140.814	410.357	65.375	104.172	450.166	25.384	176.221	292.227	25.518	135.697	220.443	27.143	-207.935	331.080	848.691	-230.763	395.544	467.010	-220.652	412.630	79.158	-177.974	458.846	28.877	-270.869	309.848	27.355	-238.511	236.211	28.788
915	9.14000	22.715	279.664	1663.188	89.850	412.787	1395.263	219.026	429.045	1122.127	297.700	352.821	912.443	-191.267	337.682	1378.585	-304.397	382.986	1097.816	-381.708	333.949	886.831	137.439	381.414	847.466	143.023	408.362	453.927	140.771	410.193	65.366	104.199	450.090	25.418	176.024	292.198	25.542	135.364	220.385	27.141	-207.857	331.900	848.880	-230.697	396.025	466.837	-220.889	412.725	79.541	-178.056	458.793	28.860	-270.837	309.782	27.523	-238.455	236.267	28.822
916	9.15000	21.126	279.118	1663.607	91.134	412.269	1394.961	219.350	429.140	1120.562	295.517	354.763	910.128	-190.910	339.288	1378.499	-304.156	384.679	1097.889	-381.247	335.963	886.670	137.365	380.429	847.312	143.336	407.791	453.820	140.916	410.370	65.155	104.265	450.183	25.348	176.050	292.229	25.421	135.664	220.447	26.965	-207.746	332.910	848.840	-230.834	396.163	466.986	-220.850	412.800	79.457	-178.012	458.823	28.833	-270.660	309.814	27.520	-238.542	236.283	28.904
917	9.16000	20.051	278.580	1663.759	92.285	411.542	1394.430	219.125	429.345	1119.768	293.336	357.547	907.523	-190.593	340.755	1378.425	-303.331	386.709	1097.910	-380.700	338.066	886.431	138.134	379.626	847.391	143.570	407.174	453.874	141.346	409.950	64.893	104.257	450.153	25.254	176.019	292.204	25.455	135.685	220.486	27.045	-207.586	334.071	848.871	-230.342	396.789	466.835	-221.154	412.893	79.452	-177.946	458.790	28.866	-270.763	309.894	27.522	-238.468	236.248	28.850
918	9.17000	19.454	278.337	1663.645	93.562	410.816	1394.013	218.700	429.707	1119.008	291.288	360.635	904.651	-190.364	342.083	1378.284	-302.771	388.230	1097.840	-379.971	340.419	885.752	138.702	378.714	847.437	143.743	406.564	453.916	140.984	410.461	65.432	104.453	450.172	25.215	176.080	292.270	25.371	135.548	220.548	27.199	-207.399	335.113	848.784	-230.353	397.249	466.850	-220.822	412.751	79.192	-177.984	458.887	28.795	-270.990	309.790	27.532	-238.622	236.266	28.986
919	9.18000	18.363	277.740	1663.906	94.838	410.167	1393.552	218.509	430.058	1118.005	288.845	364.175	901.614	-190.057	343.482	1378.055	-302.605	389.660	1097.592	-379.593	342.839	885.535	139.188	377.963	847.365	144.072	405.945	453.793	141.069	410.214	65.333	104.521	450.192	25.185	175.987	292.371	25.575	135.439	220.537	27.116	-207.367	336.367	848.728	-230.193	397.577	466.896	-220.593	412.751	79.172	-177.961	458.811	28.751	-271.099	309.741	27.581	-238.567	236.341	28.926
920	9.19000	17.127	277.485	1663.844	96.086	409.525	1393.167	218.255	430.611	1116.686	285.992	368.242	898.474	-189.820	344.758	1377.826	-301.646	391.863	1097.060	-378.902	345.227	885.429	139.577	376.910	847.331	144.225	405.365	453.842	141.124	410.563	65.833	104.512	450.263	25.192	175.914	292.370	25.543	135.435	220.512	27.351	-207.375	337.621	848.852	-230.185	398.109	466.959	-220.855	412.882	79.349	-177.937	458.888	28.704	-271.076	309.707	27.557	-238.554	236.275	28.927
