NO_OF_SAMPLES	1124
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:24:47	11034.90356421
FIRST_SAMPLE	902
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 1
FORCE_PLATE_CORNER_POSX_POSY_X	-88.329201
FORCE_PLATE_CORNER_POSX_POSY_Y	573.721008
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	-89.185501
FORCE_PLATE_CORNER_NEGX_POSY_Y	115.864998
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	-592.245972
FORCE_PLATE_CORNER_NEGX_NEGY_Y	113.574997
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	-594.474976
FORCE_PLATE_CORNER_POSX_NEGY_Y	572.864990
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
902	9.01000	1.268667	-25.627888	270.942127	34.460790	2.365385	1.417708	-9.072796	130.471605	0.000000	
903	9.02000	1.200104	-25.675631	269.438052	34.279548	2.318935	1.390773	-8.939861	130.537581	0.000000	
904	9.03000	1.177013	-25.518794	268.115698	34.017162	2.289937	1.354860	-8.871548	130.181763	0.000000	
905	9.04000	0.949256	-25.361230	266.344047	33.889718	2.225408	1.392475	-8.652540	130.548895	0.000000	
906	9.05000	0.608195	-25.249005	265.189203	33.799334	2.115711	1.416378	-8.223665	130.761825	0.000000	
907	9.06000	0.244687	-24.818222	264.483693	33.663157	2.077723	1.490967	-8.045744	130.531092	0.000000	
908	9.07000	-0.414660	-24.592049	263.859831	33.636030	2.004081	1.547280	-7.683823	130.703417	0.000000	
909	9.08000	-0.573849	-24.111818	263.761845	33.772950	1.823632	1.616660	-6.977970	131.197336	0.000000	
910	9.09000	-0.755340	-23.883074	264.375652	33.855742	1.706151	1.639957	-6.489873	131.169455	0.000000	
911	9.10000	-1.005181	-23.860437	263.570300	33.909904	1.579501	1.700105	-5.990222	131.773964	0.000000	
912	9.11000	-1.300089	-23.884912	262.856688	33.828817	1.442760	1.723831	-5.440292	131.828522	0.000000	
913	9.12000	-1.412865	-24.116067	261.173064	33.610686	1.341600	1.752058	-5.069510	131.882694	0.000000	
914	9.13000	-1.617898	-23.866291	260.284700	33.530138	1.223115	1.743723	-4.599089	131.986286	0.000000	
915	9.14000	-1.457966	-23.889417	259.392483	33.476342	1.032950	1.766881	-3.906308	132.238421	0.000000	
916	9.15000	-1.138966	-23.682570	259.290942	33.506555	0.689744	1.739489	-2.634113	132.374546	0.000000	
917	9.16000	-0.797763	-23.521528	259.104753	33.509245	0.427903	1.684449	-1.678816	132.455211	0.000000	
918	9.17000	-0.547297	-23.405669	259.090495	33.558010	0.084855	1.620327	-0.394119	132.632584	0.000000	
919	9.18000	-0.251531	-23.219147	259.336391	33.814515	-0.265751	1.615442	0.911725	133.466168	0.000000	
920	9.19000	0.158879	-23.191288	261.083598	34.100419	-0.715541	1.541404	2.563542	133.659987	0.000000	
921	9.20000	0.341499	-23.096147	262.213997	34.348973	-1.093542	1.499867	3.965123	134.014542	0.000000	
