NO_OF_SAMPLES	1124
FREQUENCY	100
TIME_STAMP	2020-10-29, 15:24:47	11034.90356421
FIRST_SAMPLE	902
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Force-plate 3
FORCE_PLATE_CORNER_POSX_POSY_X	1137.770020
FORCE_PLATE_CORNER_POSX_POSY_Y	573.268982
FORCE_PLATE_CORNER_POSX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_POSY_X	1133.949951
FORCE_PLATE_CORNER_NEGX_POSY_Y	114.096001
FORCE_PLATE_CORNER_NEGX_POSY_Z	0.000000
FORCE_PLATE_CORNER_NEGX_NEGY_X	630.994019
FORCE_PLATE_CORNER_NEGX_NEGY_Y	120.760002
FORCE_PLATE_CORNER_NEGX_NEGY_Z	0.000000
FORCE_PLATE_CORNER_POSX_NEGY_X	631.823975
FORCE_PLATE_CORNER_POSX_NEGY_Y	581.182007
FORCE_PLATE_CORNER_POSX_NEGY_Z	0.000000
FORCE_PLATE_LENGTH	508.000000
FORCE_PLATE_WIDTH	463.550000
Sample	Time	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
902	9.01000	1.148921	1.651503	3.187619	0.321094	0.398539	0.074296	0.000000	0.000000	0.000000	
903	9.02000	1.351346	1.538597	2.926279	0.385368	0.399423	0.041976	0.000000	0.000000	0.000000	
904	9.03000	1.259953	1.538777	2.838533	0.366869	0.399045	0.069615	0.000000	0.000000	0.000000	
905	9.04000	1.399840	1.809258	3.189108	0.330305	0.398773	0.069859	0.000000	0.000000	0.000000	
906	9.05000	1.192099	1.470378	3.012631	0.366753	0.435523	0.060469	0.000000	0.000000	0.000000	
907	9.06000	1.353535	1.833572	2.925041	0.385466	0.362859	0.055939	0.000000	0.000000	0.000000	
908	9.07000	1.194050	1.515107	3.362773	0.393905	0.417294	0.074186	0.000000	0.000000	0.000000	
909	9.08000	1.259818	1.721375	2.486457	0.367435	0.390252	0.042201	0.000000	0.000000	0.000000	
910	9.09000	1.260015	1.493216	2.926783	0.366740	0.389824	0.078720	0.000000	0.000000	0.000000	
911	9.10000	1.125026	1.766388	2.746586	0.376366	0.426685	0.042367	0.000000	0.000000	0.000000	
912	9.11000	1.215327	1.538545	3.013860	0.366657	0.380592	0.087921	0.000000	0.000000	0.000000	
913	9.12000	1.260741	1.606391	2.924647	0.385046	0.435691	0.065227	0.000000	0.000000	0.000000	
914	9.13000	1.309469	1.717938	3.450643	0.330063	0.444301	0.065319	0.000000	0.000000	0.000000	
915	9.14000	1.191258	1.471156	2.836446	0.421642	0.436016	0.055880	0.000000	0.000000	0.000000	
916	9.15000	1.377238	1.809758	3.188243	0.357867	0.389959	0.056001	0.000000	0.000000	0.000000	
917	9.16000	1.122620	1.380944	2.837692	0.394278	0.390089	0.064796	0.000000	0.000000	0.000000	
918	9.17000	1.286353	1.832094	3.187298	0.330194	0.426052	0.074607	0.000000	0.000000	0.000000	
919	9.18000	1.283438	1.538385	3.013604	0.394118	0.399182	0.074184	0.000000	0.000000	0.000000	
920	9.19000	1.194365	1.697103	3.100086	0.321325	0.389575	0.060507	0.000000	0.000000	0.000000	
921	9.20000	1.284964	1.514951	3.364013	0.394000	0.399129	0.069502	0.000000	0.000000	0.000000	
922	9.21000	1.214998	1.652753	2.749114	0.385318	0.399271	0.060538	0.000000	0.000000	0.000000	
923	9.22000	1.307108	1.652099	3.012750	0.412626	0.381210	0.060409	0.000000	0.000000	0.000000	
924	9.23000	1.191055	1.493849	2.751319	0.357632	0.380573	0.087917	0.000000	0.000000	0.000000	
925	9.24000	1.216104	1.697312	2.923885	0.357841	0.426426	0.056083	0.000000	0.000000	0.000000	
926	9.25000	1.259587	1.356173	3.102095	0.375453	0.444488	0.087994	0.000000	0.000000	0.000000	
927	9.26000	1.284657	1.856085	2.750055	0.303237	0.389546	0.065339	0.000000	0.000000	0.000000	
928	9.27000	1.101369	1.403050	3.100234	0.375969	0.389915	0.060180	0.000000	0.000000	0.000000	
929	9.28000	1.194647	1.811895	2.923827	0.367462	0.335395	0.041988	0.000000	0.000000	0.000000	
930	9.29000	1.147835	1.561476	3.099758	0.385011	0.389911	0.074157	0.000000	0.000000	0.000000	
931	9.30000	1.260934	1.674875	2.837406	0.376056	0.399129	0.069758	0.000000	0.000000	0.000000	
932	9.31000	1.238087	1.515144	3.100351	0.384753	0.444638	0.078954	0.000000	0.000000	0.000000	
933	9.32000	1.261459	1.720366	2.836960	0.348994	0.399148	0.042191	0.000000	0.000000	0.000000	
934	9.33000	1.217585	1.559911	3.451753	0.330003	0.398526	0.078759	0.000000	0.000000	0.000000	
935	9.34000	1.191309	1.539106	2.749421	0.385085	0.426538	0.069745	0.000000	0.000000	0.000000	
936	9.35000	1.240845	1.787496	3.187635	0.330426	0.380494	0.065150	0.000000	0.000000	0.000000	
937	9.36000	1.215016	1.561583	2.924226	0.421549	0.417661	0.069692	0.000000	0.000000	0.000000	
938	9.37000	1.216912	1.787906	2.924743	0.294081	0.398590	0.056074	0.000000	0.000000	0.000000	
939	9.38000	1.352849	1.491750	3.364821	0.384795	0.417330	0.069560	0.000000	0.000000	0.000000	
940	9.39000	1.216340	1.765740	2.836854	0.330647	0.389764	0.056014	0.000000	0.000000	0.000000	
941	9.40000	1.194836	1.538161	3.449941	0.412415	0.390196	0.055657	0.000000	0.000000	0.000000	
942	9.41000	1.260443	1.652425	2.750733	0.348764	0.380699	0.069673	0.000000	0.000000	0.000000	
943	9.42000	1.214542	1.516708	2.837287	0.385418	0.399381	0.041965	0.000000	0.000000	0.000000	
944	9.43000	1.212967	1.494097	2.575246	0.357889	0.417333	0.060484	0.000000	0.000000	0.000000	
945	9.44000	1.353872	1.719347	3.188811	0.376042	0.371760	0.065026	0.000000	0.000000	0.000000	
946	9.45000	1.213684	1.471495	2.750745	0.394324	0.381003	0.069469	0.000000	0.000000	0.000000	
947	9.46000	1.421002	1.947338	2.575257	0.322025	0.362692	0.033112	0.000000	0.000000	0.000000	
948	9.47000	1.145796	1.403328	2.925208	0.421477	0.390176	0.078610	0.000000	0.000000	0.000000	
949	9.48000	1.308859	1.810281	3.100340	0.321587	0.380664	0.042173	0.000000	0.000000	0.000000	
950	9.49000	1.192371	1.401903	3.188330	0.375671	0.435467	0.069574	0.000000	0.000000	0.000000	
