X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.280000	8.208007e-06	4.604930e-05	7.317259e-06	9.235473e-06	
11.281001	8.331123e-06	4.689844e-05	7.427238e-06	9.276964e-06	
11.282002	8.455457e-06	4.774752e-05	7.533559e-06	9.341671e-06	
11.283003	8.580781e-06	4.859528e-05	7.636211e-06	9.428796e-06	
11.284004	8.706870e-06	4.944045e-05	7.735179e-06	9.537541e-06	
11.285005	8.833497e-06	5.028177e-05	7.830452e-06	9.667105e-06	
11.286005	8.960435e-06	5.111798e-05	7.922016e-06	9.816690e-06	
11.287006	9.087457e-06	5.194782e-05	8.009858e-06	9.985497e-06	
11.288007	9.214337e-06	5.277003e-05	8.093966e-06	1.017273e-05	
11.289008	9.340849e-06	5.358334e-05	8.174327e-06	1.037758e-05	
11.290009	9.466765e-06	5.438649e-05	8.250928e-06	1.059926e-05	
11.291010	9.591860e-06	5.517823e-05	8.323755e-06	1.083696e-05	
11.292011	9.715906e-06	5.595728e-05	8.392797e-06	1.108990e-05	
11.293012	9.838677e-06	5.672238e-05	8.458040e-06	1.135725e-05	
11.294013	9.959947e-06	5.747228e-05	8.519471e-06	1.163824e-05	
11.295014	1.007949e-05	5.820571e-05	8.577078e-06	1.193206e-05	
11.296014	1.019708e-05	5.892141e-05	8.630847e-06	1.223791e-05	
11.297015	1.031248e-05	5.961811e-05	8.680766e-06	1.255499e-05	
11.298016	1.042548e-05	6.029456e-05	8.726822e-06	1.288250e-05	
11.299017	1.053584e-05	6.094949e-05	8.769001e-06	1.321964e-05	
11.300018	1.064335e-05	6.158165e-05	8.807292e-06	1.356562e-05	
11.301019	1.074776e-05	6.218976e-05	8.841681e-06	1.391964e-05	
11.302020	1.084886e-05	6.277257e-05	8.872156e-06	1.428089e-05	
11.303021	1.094643e-05	6.332881e-05	8.898703e-06	1.464858e-05	
11.304022	1.104022e-05	6.385722e-05	8.921309e-06	1.502191e-05	
11.305023	1.113002e-05	6.435655e-05	8.939962e-06	1.540007e-05	
11.306023	1.121560e-05	6.482552e-05	8.954649e-06	1.578228e-05	
11.307024	1.129673e-05	6.526288e-05	8.965357e-06	1.616773e-05	
11.308025	1.137319e-05	6.566737e-05	8.972074e-06	1.655562e-05	
11.309026	1.144475e-05	6.603771e-05	8.974785e-06	1.694515e-05	
11.310027	1.151118e-05	6.637265e-05	8.973479e-06	1.733553e-05	
11.311028	1.157226e-05	6.667094e-05	8.968142e-06	1.772595e-05	
11.312029	1.162776e-05	6.693129e-05	8.958762e-06	1.811562e-05	
11.313030	1.167745e-05	6.715247e-05	8.945325e-06	1.850374e-05	
11.314031	1.172111e-05	6.733319e-05	8.927819e-06	1.888950e-05	
11.315032	1.175851e-05	6.747220e-05	8.906232e-06	1.927212e-05	
11.316032	1.178942e-05	6.756824e-05	8.880549e-06	1.965078e-05	
11.317033	1.181362e-05	6.762004e-05	8.850759e-06	2.002469e-05	
11.318034	1.183089e-05	6.762635e-05	8.816848e-06	2.039306e-05	
11.319035	1.184098e-05	6.758590e-05	8.778803e-06	2.075508e-05	
11.320036	1.184368e-05	6.749742e-05	8.736612e-06	2.110995e-05	
11.321037	1.183877e-05	6.735966e-05	8.690262e-06	2.145688e-05	
11.322038	1.182601e-05	6.717136e-05	8.639740e-06	2.179506e-05	
11.323039	1.180517e-05	6.693125e-05	8.585032e-06	2.212370e-05	
11.324040	1.177604e-05	6.663807e-05	8.526127e-06	2.244200e-05	
11.325041	1.173840e-05	6.629064e-05	8.463017e-06	2.274918e-05	
