X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
11.280000	7.099474e-06	-6.262054e-05	1.048768e-06	-6.488144e-06	
11.281001	1.070379e-05	-2.412293e-05	-6.359978e-07	-7.482466e-06	
11.282002	-4.966328e-07	-7.377685e-05	3.678567e-06	-4.096920e-06	
11.283003	-1.612645e-05	-7.751401e-05	9.493398e-06	7.239147e-08	
11.284004	-1.826085e-05	-3.228067e-05	1.254001e-05	4.633651e-06	
11.285005	-1.260219e-05	1.397062e-05	1.652709e-05	7.286630e-06	
11.286005	-5.064579e-06	1.076614e-04	1.503706e-05	9.516013e-06	
11.287006	-2.975919e-06	1.341344e-04	1.387112e-05	1.069408e-05	
11.288007	2.381058e-08	4.391590e-05	1.168362e-05	1.032207e-05	
11.289008	7.234166e-06	-4.361387e-06	3.758884e-06	8.739767e-06	
11.290009	4.820862e-06	3.931833e-05	3.885206e-07	4.360227e-06	
11.291010	-4.014184e-07	5.645152e-05	-3.550029e-06	5.213719e-06	
11.292011	-4.246686e-06	1.764020e-05	-7.802688e-06	9.718047e-06	
11.293012	-7.041215e-06	-1.822231e-06	-9.866681e-06	3.995545e-06	
11.294013	-3.311478e-06	2.387318e-06	-1.254573e-05	-3.081974e-06	
11.295014	1.805805e-07	-2.729780e-06	-7.623395e-06	3.203085e-07	
11.296014	-3.067015e-07	-7.851841e-06	-2.030163e-06	4.478821e-06	
11.297015	-1.535451e-06	3.178714e-06	8.306810e-07	1.913496e-06	
11.298016	-1.699781e-06	7.418616e-06	2.133997e-06	-1.410798e-06	
11.299017	-2.585945e-06	-1.262356e-05	-2.954440e-06	-3.815770e-06	
11.300018	-2.213077e-06	-2.279722e-05	-8.465969e-06	-1.087204e-05	
11.301019	-2.900500e-06	-1.075381e-05	-1.176528e-05	-1.077805e-05	
11.302020	-6.253338e-06	-6.867594e-06	-7.420679e-06	8.719851e-07	
11.303021	-4.176833e-06	-1.961789e-05	-4.328386e-06	5.328335e-06	
11.304022	-8.046886e-07	-1.988487e-05	-1.112998e-05	5.028696e-06	
11.305023	8.351924e-06	-2.861854e-05	-6.618843e-06	4.797703e-06	
11.306023	1.978341e-05	-8.441746e-05	5.523057e-06	-3.855997e-06	
11.307024	2.285091e-05	-7.259112e-05	3.847685e-06	-1.242030e-05	
11.308025	2.992858e-05	3.389699e-05	-1.331834e-06	-1.136860e-05	
11.309026	2.430388e-05	6.490328e-05	7.827341e-07	-4.714829e-06	
11.310027	6.722001e-06	4.334324e-05	3.190857e-07	2.555318e-07	
11.311028	5.000933e-06	5.827954e-05	2.633476e-06	-2.023773e-06	
11.312029	3.785137e-06	4.703842e-05	7.282050e-06	-5.484653e-06	
11.313030	-1.601088e-06	2.770151e-05	5.621904e-06	2.325330e-06	
11.314031	-6.875499e-06	-5.083275e-07	8.362423e-06	4.093460e-06	
11.315032	-1.662016e-05	-7.474161e-05	5.585097e-06	-1.433780e-05	
11.316032	-2.313983e-05	-4.725865e-05	-1.788522e-06	-1.908145e-05	
11.317033	-2.969618e-05	3.331587e-05	1.908579e-06	-3.486170e-06	
11.318034	-2.606061e-05	7.955618e-06	5.536072e-06	-1.059575e-06	
11.319035	-9.545481e-06	2.634896e-05	8.669396e-06	-2.217341e-05	
11.320036	-4.853487e-06	3.523049e-05	1.009280e-05	-4.527239e-05	
11.321037	-4.742394e-06	-4.577603e-05	8.543952e-06	-4.868229e-05	
11.322038	-4.383557e-07	-3.482878e-05	1.156537e-05	-4.079971e-05	
11.323039	3.447228e-06	-2.232392e-05	1.226276e-05	-1.478102e-05	
11.324040	1.290903e-05	-5.833652e-05	9.528929e-06	2.983887e-05	
11.325041	1.332020e-05	-3.759804e-05	6.441630e-06	5.400308e-05	
11.326041	5.214566e-06	-1.067077e-05	2.573874e-06	5.774317e-05	
11.327042	8.280220e-06	2.190702e-05	-1.510015e-06	5.992020e-05	
11.328043	1.318327e-05	4.813411e-05	-3.464957e-06	5.260062e-05	
11.329044	1.115628e-05	4.347528e-05	-7.407928e-06	3.055890e-05	
11.330045	5.407588e-06	3.863236e-05	-1.365776e-05	5.916927e-06	
11.331046	-2.186999e-06	2.264582e-05	-1.020450e-05	-1.967867e-06	
11.332047	-7.319130e-06	9.454010e-06	-1.053457e-05	1.130175e-06	
11.333048	-1.058436e-05	5.374935e-06	-1.595275e-05	-3.168817e-06	
11.334049	-1.306805e-05	-7.902886e-06	-1.454560e-05	-1.280003e-05	
11.335050	-1.053366e-05	-2.309762e-05	-2.067908e-05	-1.999166e-05	
11.336050	-5.626249e-06	-2.721539e-05	-2.165167e-05	-1.861014e-05	
11.337051	-5.845466e-06	-4.626162e-05	-8.439927e-06	-4.756534e-06	
11.338052	-6.613990e-06	-8.152139e-05	1.167955e-06	8.470998e-06	
11.339053	-1.591018e-06	-7.694501e-05	4.728524e-06	1.348898e-05	
11.340054	6.929312e-06	-9.917872e-05	4.269878e-06	2.013856e-05	
11.341055	1.308684e-05	-1.478126e-04	2.129849e-06	1.901730e-05	
11.342056	1.028167e-05	-3.972234e-05	-2.193051e-06	2.414428e-06	
11.343057	2.673389e-06	1.603505e-04	-1.699929e-06	-9.745540e-06	
11.344058	8.399314e-07	2.252013e-04	1.941644e-06	-1.386824e-05	
11.345059	4.888230e-06	1.661577e-04	-2.938043e-06	-1.672809e-05	
11.346060	4.662641e-06	9.210918e-05	3.461181e-06	-1.252160e-05	
11.347060	2.441068e-07	4.171626e-05	1.385096e-05	-7.938275e-06	
11.348061	-2.151749e-07	3.707812e-05	4.895713e-06	-9.713085e-06	
11.349062	-1.013468e-06	3.176149e-05	2.122650e-06	-1.003187e-05	
11.350063	-1.419397e-06	-1.778684e-05	6.141308e-06	-6.279051e-06	
11.351064	3.216748e-06	-4.689774e-05	3.057199e-06	-2.446513e-06	
11.352065	3.638683e-06	-3.155622e-05	4.160625e-06	-7.883451e-07	
11.353066	-1.277794e-06	-1.834701e-05	3.274562e-06	-1.507203e-06	
11.354067	-6.668964e-08	-1.471864e-05	3.112935e-06	-4.603187e-06	
11.355068	5.855052e-06	-1.667450e-05	8.481832e-06	-7.285936e-06	
11.356069	5.178863e-06	-1.754888e-05	1.018428e-05	-1.014026e-05	
11.357069	1.170816e-06	1.737713e-06	7.015359e-06	-1.303549e-05	
11.358070	4.201531e-08	1.205594e-05	1.239658e-06	-1.059203e-05	
11.359071	-1.931164e-07	2.890697e-06	4.579178e-07	-7.939909e-06	
11.360072	2.957551e-06	-5.127184e-06	1.278576e-06	-1.811913e-06	
11.361073	1.726234e-06	-3.970384e-05	1.210916e-06	7.084096e-06	
11.362074	-2.208377e-07	-7.277314e-05	3.172090e-06	5.722188e-06	
11.363075	7.561652e-06	-6.838191e-05	9.359876e-07	6.093404e-06	
11.364076	3.325537e-06	-5.823329e-05	-2.295258e-06	3.772642e-06	
11.365077	-6.502549e-06	-3.004089e-05	-4.799267e-06	-6.908828e-06	
11.366078	-8.515527e-06	2.927974e-06	-6.043797e-06	-1.012868e-06	
11.367078	-1.253977e-05	-3.553179e-06	-3.857383e-06	1.354198e-05	
11.368079	-2.317276e-06	1.772226e-06	-1.611584e-06	2.086202e-05	
11.369080	4.193958e-06	3.642117e-05	-1.410111e-06	2.454224e-05	
11.370081	-7.832518e-06	2.790916e-05	-4.268559e-06	2.106647e-05	
11.371082	-8.754731e-06	1.062866e-05	-2.683223e-06	1.334936e-05	
11.372083	-8.270438e-06	1.404893e-05	-3.485595e-07	5.593135e-06	
11.373084	-1.033461e-05	-4.423135e-06	-5.500359e-06	-1.173353e-05	
11.374085	-9.230809e-06	-1.117282e-06	-8.795152e-06	-4.357959e-05	
11.375086	-1.469735e-05	1.103499e-05	-9.404310e-06	-6.696038e-05	
11.376087	-1.158493e-05	1.517886e-05	-5.868435e-06	-5.679963e-05	
11.377087	-3.326959e-06	2.987905e-05	3.146109e-06	-2.755718e-05	
11.378088	3.144841e-07	2.010086e-07	6.814841e-06	-7.474951e-06	
11.379089	3.465501e-06	-2.121837e-05	4.679303e-06	1.112428e-05	
11.380090	7.185555e-08	2.605427e-06	4.364645e-07	4.019404e-05	
11.381091	-9.791563e-07	3.133597e-06	4.445269e-07	5.597427e-05	
11.382092	7.451785e-06	-6.939916e-06	5.870891e-06	5.436285e-05	
11.383093	1.528210e-05	-4.411589e-06	6.566598e-06	5.027523e-05	
11.384094	9.942696e-06	8.794208e-06	3.884974e-06	4.347209e-05	
11.385095	-3.847494e-06	2.374610e-05	4.750744e-07	4.285256e-05	
11.386096	-5.435264e-06	1.826234e-05	-9.106399e-07	3.026426e-05	
11.387096	1.369844e-06	8.577847e-06	2.253602e-06	-1.791569e-06	
11.388097	3.892960e-06	7.727519e-06	1.964281e-06	-1.689917e-05	
11.389098	4.879061e-06	7.095103e-06	-9.675505e-08	-2.376747e-05	
11.390099	7.889381e-06	5.261424e-06	4.713149e-07	-3.219665e-05	
11.391100	1.187309e-05	4.293037e-06	2.667418e-07	-3.535552e-05	
11.392101	1.395690e-05	3.099585e-06	8.083208e-08	-3.753827e-05	
11.393102	1.396985e-05	-3.286470e-06	1.192151e-06	-2.364069e-05	
11.394103	1.297041e-05	-6.404916e-06	-2.177928e-08	-1.640617e-05	
11.395104	1.172889e-05	-5.954937e-06	-2.401114e-06	-2.586198e-05	
11.396105	9.813632e-06	-1.109126e-05	-2.178571e-06	-1.786552e-05	
11.397106	7.244244e-06	-8.726427e-06	-5.048882e-06	-9.647892e-06	
11.398106	4.960228e-06	-1.296228e-06	-7.678238e-06	-1.581432e-05	
11.399107	4.143450e-06	-6.718946e-06	-5.298311e-06	-7.060165e-06	
11.400108	3.961757e-06	-8.649616e-06	-2.989098e-06	1.890982e-05	
11.401109	2.964612e-07	8.476151e-07	2.533232e-06	3.944114e-05	
11.402110	-5.630653e-06	7.714339e-06	5.308570e-06	5.276939e-05	
11.403111	-1.218987e-05	2.378723e-05	2.164774e-06	5.695468e-05	
11.404112	-1.509438e-05	3.318030e-05	2.581143e-06	3.931289e-05	
11.405113	-9.517249e-06	1.100389e-05	2.623638e-06	8.574517e-06	
11.406114	-6.145120e-06	-2.609786e-05	1.453128e-06	-1.724993e-05	
11.407115	-3.730924e-06	-4.471310e-05	1.858130e-06	-2.690210e-05	
11.408115	2.623565e-06	-2.668456e-05	2.389400e-06	-2.249899e-05	
11.409116	-5.195523e-06	-1.409303e-05	4.990047e-06	-1.851284e-05	
11.410117	-1.580231e-05	2.778671e-05	5.607498e-06	-1.664513e-05	
11.411118	-1.398624e-05	7.123981e-05	3.538124e-06	-1.369457e-05	
11.412119	-1.993551e-05	-1.554722e-05	3.618891e-06	-1.241570e-05	
11.413120	-2.241103e-05	-8.195713e-05	6.497522e-06	-1.117423e-05	
11.414121	-1.161302e-05	-3.393473e-05	8.936151e-06	-1.119203e-05	
11.415122	-1.030490e-05	3.498701e-06	2.253078e-06	-1.235568e-05	
11.416123	-7.673584e-06	3.632812e-06	-6.277660e-06	-1.115682e-05	
11.417124	6.301168e-06	-2.737460e-05	-3.501197e-06	-1.024012e-05	
11.418124	9.098466e-06	1.483175e-06	-1.453046e-06	-7.528707e-06	
11.419125	3.352841e-06	5.459964e-05	-4.642726e-06	-3.155788e-06	
11.420126	4.313087e-06	2.696972e-06	-4.596776e-06	-1.148860e-06	
11.421127	5.612946e-06	-3.092308e-05	-6.595564e-06	2.436925e-06	
11.422128	5.561589e-06	1.294937e-06	-1.036464e-05	5.550625e-06	
11.423129	6.514984e-06	2.036099e-05	-9.147781e-06	6.509846e-06	
11.424130	1.016552e-05	2.820127e-05	-7.784236e-06	8.711650e-06	
11.425131	1.714536e-05	2.347160e-05	-8.740117e-06	9.388791e-06	
11.426132	1.889747e-05	1.272120e-05	-7.213518e-06	1.079505e-05	
11.427133	1.901211e-05	-1.363661e-06	-7.662653e-06	1.224694e-05	
11.428133	1.790057e-05	-1.089827e-05	-9.976081e-06	1.038633e-05	
11.429134	1.355439e-05	-4.829631e-06	-6.438203e-06	1.165372e-05	
11.430135	1.716486e-05	1.360354e-06	-3.595238e-06	1.197847e-05	
11.431136	1.963566e-05	1.009452e-05	-4.543495e-06	6.773043e-06	
11.432137	1.255428e-05	1.645223e-05	-5.254278e-06	2.548664e-06	
11.433138	3.755151e-06	1.888491e-05	-6.130869e-06	1.163297e-06	
11.434139	-2.691150e-06	1.024187e-05	-1.214000e-06	1.650871e-06	
11.435140	-4.609896e-06	-1.342610e-05	6.214627e-06	-5.668738e-07	
11.436141	-1.149394e-05	-1.920434e-05	4.458722e-06	-3.615591e-06	
11.437142	-1.985415e-05	-3.162936e-05	4.306076e-07	-2.080646e-06	
11.438142	-1.822761e-05	-3.621921e-05	2.673494e-06	-1.414516e-06	
11.439143	-1.770031e-05	1.413363e-05	6.449050e-06	-8.258927e-07	
11.440144	-1.926229e-05	3.616232e-05	8.801288e-06	4.628575e-07	
11.441145	-2.285561e-05	-2.961060e-07	8.917540e-06	-7.075985e-07	
11.442146	-3.067805e-05	-1.228729e-05	8.819326e-06	1.013554e-06	
11.443147	-2.750065e-05	1.379914e-05	1.165703e-05	6.493480e-07	
11.444148	-1.930354e-05	1.357684e-05	1.368137e-05	-2.602682e-06	
11.445149	-1.703006e-05	-1.538532e-05	1.347564e-05	-1.103342e-06	
11.446150	-1.353794e-05	-1.628717e-05	1.385095e-05	-3.536190e-06	
11.447151	-9.832027e-06	-7.091559e-06	1.447373e-05	-5.049654e-06	
11.448151	-5.064758e-06	-7.300712e-06	1.238659e-05	-2.614864e-07	
11.449152	7.535415e-07	-4.289031e-06	9.076926e-06	-4.828367e-07	
11.450153	1.933949e-06	-1.892341e-05	7.798878e-06	-9.574236e-07	
11.451154	5.297757e-06	-2.681574e-05	5.573273e-06	-6.495420e-07	
11.452155	1.517969e-05	-4.885670e-06	4.405204e-06	-1.939133e-06	
11.453156	1.822269e-05	6.246534e-06	3.842128e-06	5.140919e-07	
11.454157	1.548187e-05	8.049101e-06	2.674920e-07	1.827334e-06	
11.455158	2.129436e-05	2.073285e-05	-9.274975e-07	1.383323e-06	
11.456159	2.387392e-05	2.954139e-05	-3.499091e-06	2.002076e-06	
11.457160	2.106248e-05	2.657905e-05	-6.865985e-06	1.079031e-06	
11.458161	2.270694e-05	1.413195e-05	-5.637058e-06	-4.670822e-07	
11.459161	1.946754e-05	5.269238e-06	-7.766052e-06	2.627557e-07	
11.460162	1.747723e-05	7.741385e-07	-1.046099e-05	1.406213e-06	
11.461163	1.420767e-05	-6.131901e-06	-1.046133e-05	-9.540080e-07	
11.462164	2.568102e-06	-1.099038e-05	-1.109692e-05	-1.257597e-06	
11.463165	2.574030e-06	-1.795564e-05	-8.776791e-06	3.179025e-07	
11.464166	6.461576e-06	-1.966710e-05	-8.500303e-06	-1.849982e-06	
11.465167	-1.196418e-06	-1.827699e-05	-1.175928e-05	-1.301615e-06	
11.466168	-4.232011e-06	-1.429079e-05	-1.007026e-05	-4.228211e-07	
11.467169	1.223422e-06	1.792979e-05	-4.904378e-06	-3.984404e-06	
11.468170	3.069905e-06	4.995164e-05	-2.420981e-06	-7.046022e-06	
11.469170	3.175973e-06	4.000955e-05	-4.381106e-06	-5.022199e-06	
11.470171	2.683102e-06	1.142086e-05	-4.909733e-06	-1.537378e-07	
11.471172	-3.025838e-06	-6.092838e-06	9.012243e-08	-3.048149e-06	
11.472173	-5.322669e-06	-1.082177e-05	2.838229e-06	-4.604296e-06	
11.473174	-2.919157e-06	-1.152751e-05	2.375835e-06	-2.471688e-07	
11.474175	-3.058778e-06	-5.168962e-06	2.830839e-06	-3.054635e-06	
11.475176	-6.115969e-06	3.295272e-06	1.665675e-06	-3.137338e-06	
11.476177	-1.143125e-05	-1.138144e-05	-7.224580e-07	-4.648983e-07	
11.477178	-1.324745e-05	-3.537129e-05	-3.415801e-06	-3.633047e-06	
11.478179	-9.819561e-06	-3.408040e-05	-3.299683e-06	-2.829811e-06	
11.479179	-5.389820e-06	-1.566354e-05	-1.140280e-06	-1.471857e-06	
11.480180	-7.024672e-06	-5.526533e-07	-3.685990e-06	-2.758464e-06	
11.481181	-1.425718e-05	7.084108e-06	-5.789944e-06	-2.880772e-07	
11.482182	-1.977131e-05	4.914082e-06	-4.837179e-06	3.373142e-06	
11.483183	-3.073789e-05	1.480484e-06	-5.415000e-06	6.541294e-06	
11.484184	-3.706306e-05	3.265252e-06	-3.587306e-06	7.313399e-06	
11.485185	-2.915092e-05	2.109509e-06	3.118501e-06	5.340056e-06	
11.486186	-2.417466e-05	1.642858e-06	8.980860e-06	6.455913e-06	
11.487187	-1.553100e-05	5.101745e-06	8.795369e-06	7.056705e-06	
11.488188	5.693090e-07	4.572859e-06	4.952474e-06	4.021559e-06	
11.489188	1.246752e-05	3.555422e-06	4.098946e-06	5.355002e-06	
