14	13	0	16
1	5	2	0.5
2	2	1	0.5
3	2	3	0.436
4	3	4	0.43
5	2	6	0.436
6	6	7	0.43
7	5	8	0.433
8	8	9	0.433
9	9	10	0.5
10	10	11	0.5
11	5	12	0.433
12	12	13	0.433
13	13	14	0.5
14	14	15	0.5
1	2	1	0.5	-0.5
2	1	3	-0.5	0.436
3	1	5	-0.5	0.436
4	5	6	-0.564	0.43
5	3	4	-0.564	0.43
6	1	7	0.5	0.433
7	7	8	-0.567	0.433
8	8	9	-0.567	0.5
9	9	10	-0.5	0.5
10	1	11	0.5	0.433
11	11	12	-0.567	0.433
12	12	13	-0.567	0.5
13	13	14	-0.5	0.5
1	1	2	3	1
2	1	1	3	3
3	1	1	3	5
4	1	5	3	6
5	1	3	3	4
6	1	1	3	7
7	1	7	3	8
8	1	8	3	9
9	1	9	3	10
10	1	1	3	11
11	1	11	3	12
12	1	12	3	13
13	1	13	3	14
14	2	1	1	
15	2	1	2	
16	2	1	3	
