X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.110000	6.743867e-06	4.711721e-05	2.625408e-06	6.575848e-06	
9.111000	6.673753e-06	4.708157e-05	2.598294e-06	6.577083e-06	
9.112000	6.605548e-06	4.702112e-05	2.575608e-06	6.578216e-06	
9.113000	6.539487e-06	4.693550e-05	2.557582e-06	6.579212e-06	
9.114000	6.475803e-06	4.682435e-05	2.544448e-06	6.580034e-06	
9.115000	6.414730e-06	4.668732e-05	2.536434e-06	6.580648e-06	
9.116001	6.356500e-06	4.652403e-05	2.533774e-06	6.581020e-06	
9.117001	6.301348e-06	4.633414e-05	2.536697e-06	6.581112e-06	
9.118001	6.249507e-06	4.611728e-05	2.545435e-06	6.580891e-06	
9.119001	6.201211e-06	4.587308e-05	2.560219e-06	6.580321e-06	
9.120001	6.156692e-06	4.560120e-05	2.581279e-06	6.579367e-06	
9.121001	6.116185e-06	4.530127e-05	2.608846e-06	6.577994e-06	
9.122001	6.079923e-06	4.497293e-05	2.643153e-06	6.576166e-06	
9.123001	6.048140e-06	4.461582e-05	2.684428e-06	6.573849e-06	
9.124001	6.021069e-06	4.422959e-05	2.732905e-06	6.571007e-06	
9.125001	5.998935e-06	4.381389e-05	2.788800e-06	6.567605e-06	
9.126001	5.981772e-06	4.336910e-05	2.852040e-06	6.563628e-06	
9.127002	5.969417e-06	4.289630e-05	2.922247e-06	6.559079e-06	
9.128002	5.961697e-06	4.239661e-05	2.999031e-06	6.553962e-06	
9.129002	5.958440e-06	4.187115e-05	3.082001e-06	6.548281e-06	
9.130002	5.959473e-06	4.132104e-05	3.170767e-06	6.542040e-06	
9.131002	5.964624e-06	4.074739e-05	3.264938e-06	6.535242e-06	
9.132002	5.973721e-06	4.015132e-05	3.364123e-06	6.527893e-06	
9.133002	5.986590e-06	3.953395e-05	3.467932e-06	6.519995e-06	
9.134002	6.003060e-06	3.889640e-05	3.575975e-06	6.511552e-06	
9.135002	6.022959e-06	3.823979e-05	3.687860e-06	6.502570e-06	
9.136002	6.046112e-06	3.756523e-05	3.803197e-06	6.493051e-06	
9.137002	6.072349e-06	3.687384e-05	3.921596e-06	6.482999e-06	
9.138003	6.101496e-06	3.616674e-05	4.042666e-06	6.472419e-06	
9.139003	6.133382e-06	3.544505e-05	4.166016e-06	6.461315e-06	
9.140003	6.167833e-06	3.470988e-05	4.291257e-06	6.449690e-06	
9.141003	6.204678e-06	3.396235e-05	4.417996e-06	6.437549e-06	
9.142003	6.243744e-06	3.320359e-05	4.545844e-06	6.424895e-06	
9.143003	6.284858e-06	3.243470e-05	4.674411e-06	6.411732e-06	
9.144003	6.327848e-06	3.165681e-05	4.803304e-06	6.398065e-06	
9.145003	6.372541e-06	3.087104e-05	4.932135e-06	6.383898e-06	
9.146003	6.418766e-06	3.007850e-05	5.060512e-06	6.369233e-06	
9.147003	6.466349e-06	2.928030e-05	5.188045e-06	6.354076e-06	
9.148003	6.515118e-06	2.847758e-05	5.314343e-06	6.338431e-06	
9.149004	6.564901e-06	2.767144e-05	5.439016e-06	6.322300e-06	
9.150004	6.615525e-06	2.686300e-05	5.561673e-06	6.305689e-06	
9.151004	6.666818e-06	2.605339e-05	5.681923e-06	6.288601e-06	
9.152004	6.718607e-06	2.524372e-05	5.799377e-06	6.271040e-06	
