NO_OF_FRAMES	136
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
837	8.36000	281.911	237.416	1666.632	202.925	397.884	1381.800	207.913	469.105	1082.651	266.318	477.028	852.586	174.423	86.738	1363.138	164.541	36.770	1052.224	230.170	-24.499	842.334	244.546	403.098	831.547	209.803	387.795	449.485	181.707	360.423	66.029	133.513	330.204	25.650	299.571	380.398	27.290	366.913	337.597	25.090	238.231	53.029	833.903	207.594	67.906	458.782	173.900	115.627	72.477	122.724	159.500	26.966	279.668	80.143	25.094	349.964	117.108	27.556
838	8.37000	281.765	237.003	1666.695	203.362	397.767	1381.871	208.228	469.132	1082.760	266.130	477.012	852.577	174.543	86.612	1363.051	164.658	37.757	1051.660	229.681	-23.945	842.266	244.667	403.286	831.525	209.628	387.792	449.288	181.933	360.451	65.869	133.519	330.162	25.558	299.473	380.758	27.724	366.917	337.544	25.187	238.136	53.362	833.823	207.189	68.208	458.583	173.792	115.913	72.635	122.819	159.595	26.986	279.586	80.098	25.407	350.063	117.108	27.701
839	8.38000	281.776	236.786	1666.620	203.749	397.761	1381.951	208.810	469.197	1082.799	266.004	476.867	852.590	174.654	86.556	1363.010	163.868	37.620	1051.705	229.275	-23.339	841.938	244.848	403.548	831.324	209.131	388.027	449.148	181.820	360.437	65.762	133.608	330.124	25.528	298.840	380.426	27.769	366.943	337.585	25.033	238.153	53.689	833.808	206.874	68.401	458.556	174.655	116.229	72.324	122.772	159.736	27.101	279.769	80.467	25.634	350.069	117.175	27.561
840	8.39000	282.065	236.467	1666.717	204.200	397.790	1381.959	209.078	469.493	1083.087	265.917	476.967	852.587	174.930	86.476	1362.928	163.317	37.988	1051.585	228.299	-22.805	841.985	244.996	403.759	831.244	208.602	388.414	449.093	181.656	360.459	65.681	133.540	330.078	25.635	299.563	380.491	27.093	366.882	337.670	25.149	238.391	54.110	833.676	206.140	68.747	458.320	173.709	116.307	73.017	122.903	159.861	27.089	279.612	80.713	26.001	350.081	117.171	27.532
841	8.40000	281.775	235.922	1666.733	204.513	397.815	1381.973	209.741	469.634	1082.898	265.877	477.133	852.583	175.042	86.420	1362.813	163.164	38.448	1051.511	227.323	-22.153	841.898	245.133	404.080	831.301	207.710	389.245	449.027	181.181	360.558	65.462	133.337	330.057	25.619	299.467	380.592	27.337	366.852	337.629	25.102	238.538	54.391	833.632	205.471	68.947	458.294	173.376	116.508	73.188	122.854	160.015	27.141	279.802	80.928	26.120	350.160	117.276	27.440
842	8.41000	281.984	236.023	1666.641	204.830	397.867	1381.951	209.996	469.804	1083.115	265.845	477.429	852.579	175.266	86.448	1362.731	162.438	38.156	1051.457	227.136	-21.143	841.003	245.417	404.443	831.106	207.137	389.627	448.878	181.583	360.656	65.738	133.419	330.215	25.559	299.522	380.729	26.988	366.754	337.727	25.165	238.925	54.683	833.552	204.667	68.940	458.214	173.757	116.720	73.004	122.965	160.168	27.127	279.966	81.118	26.556	350.195	117.217	27.528
843	8.42000	281.939	235.870	1666.693	205.081	397.948	1381.930	210.402	470.093	1083.095	265.739	477.635	852.570	175.419	86.413	1362.540	162.376	38.754	1051.392	225.957	-20.754	840.865	245.502	404.640	830.991	206.418	390.316	448.843	180.789	360.635	65.614	133.385	330.247	25.507	299.502	380.879	26.947	366.777	337.719	25.039	239.250	54.999	833.410	204.017	69.068	458.421	173.652	116.987	73.052	123.007	160.261	27.042	279.873	81.302	26.624	350.169	117.300	27.525
844	8.43000	281.621	235.222	1666.527	205.332	398.046	1381.887	210.823	470.444	1083.028	266.035	477.956	852.430	175.640	86.512	1362.316	162.185	39.163	1051.176	225.050	-20.018	839.839	245.623	404.991	830.894	205.599	390.913	448.913	181.321	360.834	65.631	133.412	330.266	25.465	299.386	381.025	27.147	366.759	337.742	25.115	239.887	55.485	833.283	202.993	69.083	458.385	173.206	116.919	73.236	123.001	160.318	27.157	279.712	81.258	26.857	350.150	117.338	27.475
845	8.44000	281.333	234.348	1666.000	205.469	398.075	1381.843	211.233	470.722	1083.031	266.058	478.274	852.459	175.758	86.553	1362.098	161.751	39.226	1050.822	224.364	-19.492	839.399	245.752	405.377	830.841	204.969	391.535	448.608	180.315	360.905	65.532	133.315	330.330	25.362	299.329	380.889	26.697	366.783	337.938	24.925	240.310	55.744	833.277	201.793	69.022	458.345	173.545	117.051	72.964	123.018	160.405	27.028	280.045	81.417	26.566	350.170	117.283	27.523
846	8.45000	281.125	233.965	1665.755	205.466	398.194	1381.798	211.643	471.090	1082.976	266.394	478.573	852.348	175.744	86.613	1361.799	161.304	39.582	1050.289	223.959	-18.950	838.828	245.884	405.794	830.726	204.002	392.450	448.558	180.294	361.054	65.664	133.299	330.345	25.309	299.327	381.242	26.917	366.660	337.924	24.978	240.914	56.233	833.282	200.213	68.712	458.741	173.649	117.138	72.883	123.028	160.418	27.145	279.790	81.515	26.806	350.034	117.304	27.433
